feature,corr_with_soh,abs_corr,valid_count
soh_rolling_median,0.9997183352488539,0.9997183352488539,288
capacity_Ah,0.9987489878325078,0.9987489878325078,288
capacity_mAh,0.9987489878325069,0.9987489878325069,288
charge_time_window_medium_32_35,0.9950820123514286,0.9950820123514286,288
charge_time_window_narrow_33_345,0.9945894543855346,0.9945894543855346,288
charge_time_window_very_narrow_335_340,0.9945089565876265,0.9945089565876265,288
charge_time_window_paper_335_350,0.9942772496150062,0.9942772496150062,288
ic_mean_medium_32_35,0.983900697452093,0.983900697452093,288
ic_area_narrow_33_345,0.979057162013769,0.979057162013769,288
ic_mean_narrow_33_345,0.9787770256579817,0.9787770256579817,288
ic_mean_paper_335_350,0.9747057555216461,0.9747057555216461,288
charge_time_window_full_27_36,0.9743352771376326,0.9743352771376326,288
ic_std_full_27_36,0.972777796423991,0.972777796423991,288
ic_area_medium_32_35,0.9693166883350038,0.9693166883350038,288
ic_mean_full_27_36,0.9664025792627812,0.9664025792627812,288
cycle_number,-0.9523040879476632,0.9523040879476632,288
ic_area_paper_335_350,0.9507189406365758,0.9507189406365758,288
rpt_group,-0.9472575138501085,0.9472575138501085,288
rpt_index,-0.9472575138501085,0.9472575138501085,288
ic_std_medium_32_35,0.9442717558314921,0.9442717558314921,288
q_delta_window_paper_335_350,0.9376395696849136,0.9376395696849136,288
q_delta_window_full_27_36,0.9323385851437385,0.9323385851437385,288
q_delta_window_narrow_33_345,0.931076039009186,0.931076039009186,288
ic_area_full_27_36,0.9304835746501636,0.9304835746501636,288
q_delta_window_medium_32_35,0.91358653906789,0.91358653906789,288
ic_std_paper_335_350,0.9056641635614131,0.9056641635614131,288
q_delta_window_very_narrow_335_340,0.8844824536777192,0.8844824536777192,288
pmax_full_27_36,0.8771951433579886,0.8771951433579886,288
pmax_norm_full_27_36,0.8542026726972252,0.8542026726972252,288
soh_delta,0.840834871287089,0.840834871287089,283
ic_area_very_narrow_335_340,0.833610928396249,0.833610928396249,288
ic_mean_very_narrow_335_340,0.8164595041632946,0.8164595041632946,288
ic_std_narrow_33_345,0.810989630601096,0.810989630601096,288
peak_width_narrow_33_345,0.7757984963319559,0.7757984963319559,288
pmax_medium_32_35,0.5500451750334734,0.5500451750334734,288
peak_width_paper_335_350,0.5213453029959589,0.5213453029959589,288
pmax_norm_medium_32_35,0.5012413732181265,0.5012413732181265,288
num_cycles_increment,-0.4396111592450049,0.4396111592450049,283
peak_width_full_27_36,0.2717441641565397,0.2717441641565397,288
pmax_voltage_narrow_33_345,0.2380097838460221,0.2380097838460221,288
pmax_voltage_paper_335_350,0.18507861351014163,0.18507861351014163,288
peak_width_medium_32_35,0.17731158429347518,0.17731158429347518,288
pmax_narrow_33_345,-0.1668538916651246,0.1668538916651246,288
pmax_norm_narrow_33_345,-0.16303513146295529,0.16303513146295529,288
pmax_paper_335_350,-0.14696550706611927,0.14696550706611927,288
pmax_norm_paper_335_350,-0.1429053921257845,0.1429053921257845,288
pmax_voltage_medium_32_35,-0.11765423695749543,0.11765423695749543,288
dva_abs_mean_paper_335_350,0.1058750805778519,0.1058750805778519,288
dva_std_paper_335_350,0.0797524148360437,0.0797524148360437,288
ic_std_very_narrow_335_340,-0.07683159765152107,0.07683159765152107,288
pmax_voltage_full_27_36,0.06695428871352768,0.06695428871352768,288
pmax_voltage_very_narrow_335_340,-0.063619126035874,0.063619126035874,288
dva_mean_medium_32_35,0.04249566098857696,0.04249566098857696,288
dva_mean_full_27_36,-0.039625884612036345,0.039625884612036345,288
dva_mean_very_narrow_335_340,-0.03608421726831586,0.03608421726831586,288
pmax_very_narrow_335_340,-0.03396682032225174,0.03396682032225174,288
dva_std_very_narrow_335_340,0.031311638463716075,0.031311638463716075,288
dva_abs_mean_very_narrow_335_340,0.029113983870439376,0.029113983870439376,288
pmax_norm_very_narrow_335_340,-0.025232659638322354,0.025232659638322354,288
peak_width_very_narrow_335_340,0.02458200141739477,0.02458200141739477,288
dva_std_narrow_33_345,0.01737143605904857,0.01737143605904857,288
dva_abs_mean_narrow_33_345,0.016336741631218222,0.016336741631218222,288
dva_std_medium_32_35,0.008526505924309471,0.008526505924309471,288
dva_abs_mean_full_27_36,0.0066485277619351075,0.0066485277619351075,288
dva_std_full_27_36,0.00574129141632929,0.00574129141632929,288
dva_mean_narrow_33_345,0.005370917530473774,0.005370917530473774,288
dva_mean_paper_335_350,-0.001610830625736162,0.001610830625736162,288
dva_abs_mean_medium_32_35,0.0016102161730431374,0.0016102161730431374,288
