cell,cycle_name,rpt_group,rpt_index,cycle_number,num_cycles_increment,capacity_mAh,capacity_Ah,temp_mean,temp_max,pmax_full_27_36,pmax_voltage_full_27_36,ic_area_full_27_36,ic_mean_full_27_36,ic_std_full_27_36,peak_width_full_27_36,q_delta_window_full_27_36,charge_time_window_full_27_36,dva_mean_full_27_36,dva_std_full_27_36,dva_abs_mean_full_27_36,temp_mean_window_full_27_36,temp_max_window_full_27_36,pmax_medium_32_35,pmax_voltage_medium_32_35,ic_area_medium_32_35,ic_mean_medium_32_35,ic_std_medium_32_35,peak_width_medium_32_35,q_delta_window_medium_32_35,charge_time_window_medium_32_35,dva_mean_medium_32_35,dva_std_medium_32_35,dva_abs_mean_medium_32_35,temp_mean_window_medium_32_35,temp_max_window_medium_32_35,pmax_narrow_33_345,pmax_voltage_narrow_33_345,ic_area_narrow_33_345,ic_mean_narrow_33_345,ic_std_narrow_33_345,peak_width_narrow_33_345,q_delta_window_narrow_33_345,charge_time_window_narrow_33_345,dva_mean_narrow_33_345,dva_std_narrow_33_345,dva_abs_mean_narrow_33_345,temp_mean_window_narrow_33_345,temp_max_window_narrow_33_345,pmax_paper_335_350,pmax_voltage_paper_335_350,ic_area_paper_335_350,ic_mean_paper_335_350,ic_std_paper_335_350,peak_width_paper_335_350,q_delta_window_paper_335_350,charge_time_window_paper_335_350,dva_mean_paper_335_350,dva_std_paper_335_350,dva_abs_mean_paper_335_350,temp_mean_window_paper_335_350,temp_max_window_paper_335_350,pmax_very_narrow_335_340,pmax_voltage_very_narrow_335_340,ic_area_very_narrow_335_340,ic_mean_very_narrow_335_340,ic_std_very_narrow_335_340,peak_width_very_narrow_335_340,q_delta_window_very_narrow_335_340,charge_time_window_very_narrow_335_340,dva_mean_very_narrow_335_340,dva_std_very_narrow_335_340,dva_abs_mean_very_narrow_335_340,temp_mean_window_very_narrow_335_340,temp_max_window_very_narrow_335_340,soh,pmax_norm_full_27_36,pmax_norm_medium_32_35,pmax_norm_narrow_33_345,pmax_norm_paper_335_350,pmax_norm_very_narrow_335_340,soh_rolling_median,soh_outlier,soh_delta
Cell51,rpt_0000,0.0,0,0.0,0.0,1211.8352888888899,1.21183528888889,,,10.531023683059024,3.3892531062124247,0.9028349577106988,1.0586482405256066,2.1136329186664295,0.055812424849699394,0.7861632767590844,33600.20000000003,34.6763058776218,173.4615894151855,49.65551399260146,,,16.082769707711865,3.364619639278557,0.9211745506781741,3.417596007869287,3.8542022362179256,0.09072104208416798,0.7763290125147676,32856.50000000004,5.740152731473026,27.56037304368186,7.456203331573816,,,27.14601697608912,3.3670446893787576,0.8255572138531528,6.388459783952893,5.935364971941371,0.08105410821643311,0.8165048897452628,32346.900000000027,0.15754658421484835,1.2911933670808247,0.7572704530510203,,,27.108278774260967,3.3667779559118234,0.7602456962118265,5.743900411820233,6.149240499838949,0.08328857715430882,0.7960445247708581,31287.800000000025,0.9419865506733087,3.575615648696572,1.995466912963144,,,91.0025924337057,3.399800601202405,0.5364190755564816,13.622650092947577,13.890566835258134,0.03260280561122286,0.4128239492677612,31049.800000000025,-0.3050496856448655,3.348246799271317,1.140984730354133,,,1.0,1.0,1.0,1.0,1.0,1.0,0.997733465354695,False,
Cell51,rpt_0001,0.5,1,0.0,68.0,1209.08862222222,1.20908862222222,,,10.449287544126713,3.390821042084168,0.917829468703737,1.0204884945149382,2.1685131909012525,0.05947935871743493,0.8611852632152011,32855.50000000004,-7.590948728327471,53.23446591436945,21.958753241887567,,,15.707323856024905,3.362216432865732,0.9386808830034596,3.473244959582129,4.0788331730465295,0.0919226452905808,0.8303991580489892,32326.80000000004,0.8208484909295806,1.9232004706468326,1.3347481126917886,,,20.61315340196585,3.3670446893787576,0.8217249545159875,6.567260843631199,5.539205004970384,0.0858573146292585,0.8570971390001387,31836.200000000033,1.07519859707597,5.089338054956602,2.277373346279137,,,20.631251619930215,3.3667779559118234,0.7295487021585401,5.4973153881571895,5.850051726749237,0.07759619238476967,0.8837871596735299,30696.300000000032,1.7116400239217116,8.885314197969771,3.0902501642972497,,,52.47837877219525,3.3674959919839678,0.5123330560298588,13.418659314700143,8.51548392123513,0.0014909819639279398,0.44159426537021074,30534.300000000032,0.140056113608375,1.0983608296334737,0.6986095937202023,,,0.997733465354695,0.9922385381144098,0.9766553983853334,0.7593435685287615,0.7610682991617814,0.5766690527022637,0.9954712950722233,False,-0.0022665346453050184
Cell51,rpt_0002,1.0,2,68.0,62.0,1203.60586666667,1.20360586666667,,,10.052922536943328,3.390821042084168,0.8862853413586816,1.0436742750707142,2.1935815203193556,0.06128176352705417,0.8393618946346353,32597.499999999367,-0.015483836414749931,30.050189704839177,15.88278727905799,,,15.164447283681692,3.3602535070140283,0.9776132613287012,3.526224004006726,4.335666613167311,0.09243086172344706,0.8442474386649832,32106.399999999547,0.45125732914598504,2.9396130829347324,1.5999450524042094,,,19.59998807801661,3.366744488977956,0.8375516232422304,6.482781980587828,5.640545711614539,0.08375591182364728,0.895683399346147,31598.999999999938,-0.22406467930237983,2.8281808698909785,1.4764998493068417,,,19.62807038491965,3.366744889779559,0.7647119796028152,5.550730264052966,6.010899215149414,0.08312144288577139,0.8612498178028825,30424.80000000002,2.444544576470669,7.839521047679083,3.213240608799921,,,46.274303746963746,3.3674959919839678,0.5271342199359302,12.899150520380607,7.687164331988458,0.015307414829659471,0.460716830212309,30274.80000000002,-0.11887601198172056,1.0765895784584152,0.587170376794523,,,0.9932091247897515,0.9546006959527776,0.9429002316939334,0.722020769945026,0.7240618465070642,0.5084943462536413,0.9932091247897515,False,-0.004524340564943441
Cell51,rpt_0003,1.5,3,130.0,64.0,1200.87111111111,1.20087111111111,,,11.169043837884109,3.390890781563126,0.9282094181117568,1.0290323512581814,2.2444188886218797,0.059459519038076,0.8398982130796762,32443.59999999938,19.868056244636914,148.5440174011567,50.90375806049362,,,15.757053359395396,3.3592124248496997,0.9537702718245795,3.567757679314251,4.409936624349799,0.0919226452905808,0.9397488364919953,31957.199999999557,0.24023040417719232,3.298751461137138,1.654113260536852,,,18.73833045757829,3.4327885771543087,0.8396538683128754,6.650407095746101,5.51433071261962,0.0828553106212424,0.9263000576497218,31452.99999999995,0.26072546380045414,1.9621210155542064,1.3822700196763338,,,19.298768763268527,3.432689779559118,0.7657117873471749,5.6068661538066245,5.989547093051228,0.08268937875751492,0.8581557765484628,30290.700000000026,1.461291852077326,7.406613735868954,3.363699631577664,,,45.368872656523656,3.3675953907815632,0.5364477104838967,13.61761605308509,7.1170495605435615,0.01610260521042095,0.4610798787659181,30139.700000000026,-0.0889773825510838,0.6170487187431278,0.3799427620800737,,,0.9909524191296387,1.0605848181550908,0.9797474965919406,0.6902791843858151,0.7119142061351571,0.498544837495419,0.9909524191296387,False,-0.0022567056601128233
Cell51,rpt_0004,2.0,4,194.0,63.0,1197.84862222222,1.19784862222222,,,11.015901563252871,3.389088977955912,0.90233320891588,1.0333369516240531,2.231736681618695,0.059459519038076,0.8158706654402115,32416.20000000004,9.460030555251505,22.284505530824067,14.342339542060746,,,16.22032359808904,3.359813226452906,0.9226125375957192,3.481272643371726,4.267341869208826,0.09072104208416798,0.837240539658112,31923.30000000004,1.1986748790983524,2.585085640116157,1.6449675861632727,,,18.910737239917133,3.4327885771543087,0.8189387884361238,6.731664825612145,5.490609748504958,0.08255511022044093,0.8461946843586055,31417.300000000036,-0.5402933735321224,2.869210636344047,1.1387253056671691,,,19.137715643239346,3.4207058116232463,0.7560194552592543,5.860031927261518,5.957605651764463,0.08238977955911819,0.8627386639907643,30273.500000000036,2.272139250871619,14.54860083905687,4.773230769875403,,,44.70374400586274,3.3673965931863727,0.532247365290021,13.038261576952156,7.620398091752539,0.021967134268537247,0.47463778398703454,30118.500000000036,0.2262128562926527,0.6045531673248237,0.3359483089505876,,,0.9884582774615401,1.0460428059784783,1.008552873222528,0.6966302738473263,0.7059731015238936,0.49123593966214624,0.9884582774615401,False,-0.0024941416680985817
Cell51,rpt_0005,2.5,5,257.0,65.0,1194.8819555555601,1.19488195555556,,,11.140262768593134,3.3890186372745488,0.9154769888093294,1.025971107722076,2.2374645398855812,0.05947935871743493,0.8276088383358283,32318.69999999936,0.8177092594095812,35.49037322322037,15.4997402607266,,,16.156966703927928,3.3566523046092183,0.9655991690276069,3.5204067510046957,4.346186055684044,0.09123046092184373,0.8250314779917137,31828.39999999954,1.3998670839553047,2.5492784413451948,1.5587471682525842,,,19.140147642541223,3.355336873747495,0.8046953089984736,6.4958086964611335,5.546001791884333,0.08315551102204388,0.8615599626591954,31319.79999999993,-0.545302033157747,2.617003164465493,1.3332031758670895,,,20.223690152723147,3.3547849699398795,0.7298222044034077,5.531761340365226,6.006798511041326,0.08222444889779545,0.8315575920362287,30169.60000000001,1.853150743086635,16.363149292985142,5.129447090375633,,,44.11522003860165,3.3672971943887773,0.5223062771970648,12.926750419021245,7.483460872784666,0.01441282565130253,0.4528723081426032,30017.60000000001,1.0496715236814564,8.63884060545788,2.651487377567872,,,0.9860101999927119,1.0578518388971223,1.0046134464128083,0.705081252229391,0.7460337235400328,0.4847688275555343,0.9860101999927119,False,-0.002448077468828247
Cell51,rpt_0006,3.0,6,322.0,66.0,1191.97777777778,1.19197777777778,,,10.847091860406605,3.390821042084168,0.9146092123288051,1.0177823717217593,2.197118680336677,0.05947935871743493,0.8447319266441599,32317.79999999982,11.32849940367539,26.55843771753989,12.784183771593362,,,16.47752997790105,3.360039478957916,0.9423007814832753,3.4666579836016225,4.231896860402548,0.09050921843687387,0.8917673795300749,31808.79999999978,1.4349414332509263,2.9811148721742824,1.722946376730965,,,18.424468069237204,3.4327885771543087,0.7997680735398223,6.431831269912388,5.318703708403592,0.08195470941883753,0.836410210725791,31310.49999999995,0.7410631015660953,3.651872771326637,1.7039274248023975,,,18.690370355521917,3.4326022044088176,0.7266648427561344,5.385002417992248,5.741978746555569,0.08110941883767575,0.8726287277387382,30172.900000000027,0.09649848081485977,3.4331480348803782,1.7390678221240983,,,44.73184510602139,3.3673965931863727,0.5086597957660461,12.242000719565434,7.318781994223555,0.0015903807615229582,0.43857288193493865,30016.900000000027,0.049786023093590856,0.37232384268161367,0.27675154052868484,,,0.9836136880208226,1.0300130535131198,1.0245455401876389,0.67871717922618,0.689470936578542,0.491544734163568,0.9836136880208226,False,-0.0023965119718892813
Cell51,rpt_0007,3.5,7,388.0,66.0,1189.15128888889,1.18915128888889,,,10.296572808776107,3.389088977955912,0.8812489399766538,1.0340222345491337,2.2193228252904946,0.059459519038076,0.8143907996948778,32238.599999999387,-236.55517975509616,1397.4991158456278,330.81462113356605,,,17.3306305351242,3.359813226452906,0.926068528734193,3.494028885861179,4.426698783552125,0.08951943887775515,0.8136270509317343,31716.29999999956,0.9072992237967197,1.2025901331602222,1.079246136309154,,,19.13203981629824,3.356837875751503,0.799180963344685,6.451831858278985,5.610155727623554,0.08195470941883753,0.84193675821336,31205.399999999943,0.16419181611531308,2.963472032364163,1.3480412088588722,,,19.135507101536504,3.3556927855711423,0.7414776986579608,5.5086805980639415,5.991454797492585,0.08209018036072147,0.8318255389859629,30077.700000000023,1.522824643540813,5.831703544145096,2.441633937388538,,,47.36728195318546,3.3673965931863727,0.5436129509636414,12.964336275120203,8.148971399573593,0.03329859719438888,0.45039250106294143,29910.700000000023,-0.06645320640278221,0.7165958545414196,0.3943285967674129,,,0.9812812845045975,0.9777371240119731,1.0775899207717916,0.70478257761167,0.7058916304086954,0.5205047536166836,0.9812812845045975,False,-0.002332403516225101
Cell51,rpt_0008,4.0,8,454.0,67.0,1185.49848888889,1.18549848888889,,,11.075377090626318,3.3892531062124247,0.9217596149002755,1.0637365304935413,2.2494839094693875,0.05941322645290592,0.8523565838914368,32195.39999999938,-8.914994026471016,46.663648897374394,18.528904862542074,,,16.126413912003684,3.361453907815631,0.9402402619970096,3.467319161245767,4.212132006295398,0.09183066132264539,0.8462958585357943,31687.799999999555,1.7360235834912119,4.466067237808799,2.167920079915162,,,20.336464662436388,3.366744488977956,0.8294070513396331,6.526084414111524,5.413071543812138,0.08225490981963945,0.8520530225844901,31180.399999999943,1.66868564957764,10.166771255860231,3.1634708868059214,,,20.39605641345964,3.366445891783567,0.7545798403020193,5.409563552688391,5.743746894076097,0.08132745490981952,0.8483691946245426,30058.000000000022,0.10979198707847439,6.1043935039207255,2.7239413908288523,,,55.25915785975784,3.3673965931863727,0.5483906130040693,13.605552654212538,8.6487536050384,0.03319919839679386,0.4585751098572747,29900.000000000022,-0.12364486314605491,0.7060720953595063,0.36658079209566446,,,0.9782670134782528,1.0516904551684734,1.0027137243823676,0.7491509594335423,0.7523921597274367,0.607226194133024,0.9782670134782528,False,-0.0030142710263446615
Cell51,rpt_0009,4.5,9,521.0,67.0,1183.2192,1.1832192,,,10.083559686899424,3.390821042084168,0.8774137862450492,1.0159776344004947,2.156040425462492,0.06128176352705417,0.8224282850738311,32158.699999999968,42.70629499354518,155.57473503146332,56.79438813831356,,,17.729187787370183,3.3604140280561126,0.9291810843875714,3.471799420645095,4.319903135334667,0.08831783567134233,0.8583960438288425,31627.099999999922,1.0616741664826115,1.514678045587251,1.2337025532490882,,,19.152537145920043,3.3670446893787576,0.8016856517056515,6.355952021498125,5.493434322882109,0.08195470941883753,0.8438931259075544,31120.499999999938,-0.37523869571339846,4.574690861124454,1.6309965008362157,,,19.181310261202334,3.36707755511022,0.741279812506265,5.4394160433474115,5.8299679360572965,0.08358817635270555,0.843945432534774,29996.900000000016,-0.06670642252388047,3.4263228561889916,1.755937908359609,,,53.13732330463956,3.3997012024048097,0.5692713408880602,13.54649748865213,8.950277180965662,0.03290100200400836,0.4808787040637861,29834.900000000016,-0.13090955026647108,0.7959833643632577,0.43872922437699924,,,0.9763861564758298,0.95750992404666,1.1023715510189045,0.7055376544850049,0.7075812677348882,0.5839099951284296,0.9763861564758298,False,-0.0018808570024230198
