experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,medium_37_40,Cell3,GRU,True,340,72,17,5,0.012264588735448832,0.010423303997043432,0.9609828778888747
MultiHI-DeepSequence,medium_37_40,Cell3,TCN,True,340,72,17,5,0.0162726937920164,0.014627917534543252,0.9313140106919726
MultiHI-DeepSequence,medium_37_40,Cell3,TransformerEncoder,True,340,72,17,5,0.012101604423351441,0.008740713795475818,0.9620129858411424
MultiHI-DeepSequence,medium_37_40,Cell4,LSTM,True,369,43,17,5,0.018096896149626892,0.015210975061519662,0.8878421875439724
MultiHI-DeepSequence,medium_37_40,Cell4,GRU,True,369,43,17,5,0.02578693390107616,0.02218653899052943,0.7722697326946474
MultiHI-DeepSequence,medium_37_40,Cell4,TCN,True,369,43,17,5,0.009171992974003024,0.007485640848775018,0.9711896344588408
MultiHI-DeepSequence,medium_37_40,Cell4,TransformerEncoder,True,369,43,17,5,0.010393953339742383,0.009229719900576024,0.9630016064579011
MultiHI-DeepSequence,medium_37_40,Cell5,LSTM,True,371,41,17,5,0.014999431476433997,0.012374874768671143,0.8841377163070157
MultiHI-DeepSequence,medium_37_40,Cell5,GRU,True,371,41,17,5,0.03126861980369136,0.03047189017039472,0.4964879000389356
MultiHI-DeepSequence,medium_37_40,Cell5,TCN,True,371,41,17,5,0.015796523627650962,0.014602279699002822,0.8714963301384318
MultiHI-DeepSequence,medium_37_40,Cell5,TransformerEncoder,True,371,41,17,5,0.013370373278584147,0.010987883832394227,0.9079381808821801
MultiHI-DeepSequence,medium_37_40,Cell6,LSTM,True,370,42,17,5,0.00949522447834669,0.00668863488247647,0.9634949929449752
MultiHI-DeepSequence,medium_37_40,Cell6,GRU,True,370,42,17,5,0.02523444117807798,0.020870244567391668,0.742172434944631
MultiHI-DeepSequence,medium_37_40,Cell6,TCN,True,370,42,17,5,0.013393447800670288,0.011410863669411363,0.9273682107929332
MultiHI-DeepSequence,medium_37_40,Cell6,TransformerEncoder,True,370,42,17,5,0.012273742164918918,0.009845093379989681,0.9390047584596287
MultiHI-DeepSequence,medium_37_40,Cell7,LSTM,True,339,73,17,5,0.013532156067241835,0.010819206778374781,0.9334949835657963
MultiHI-DeepSequence,medium_37_40,Cell7,GRU,True,339,73,17,5,0.023234615438059044,0.01615436968734738,0.8039389217003932
MultiHI-DeepSequence,medium_37_40,Cell7,TCN,True,339,73,17,5,0.02739325561476341,0.02602073602489477,0.7274741458781733
MultiHI-DeepSequence,medium_37_40,Cell7,TransformerEncoder,True,339,73,17,5,0.012669882562024014,0.00949941659590272,0.9417003982412471
MultiHI-DeepSequence,medium_37_40,Cell8,LSTM,True,339,72,17,5,0.008005953623593673,0.0067481576315991726,0.9836232210559827
MultiHI-DeepSequence,medium_37_40,Cell8,GRU,True,339,72,17,5,0.04678192630030188,0.039930519506027266,0.44081109265877383
MultiHI-DeepSequence,medium_37_40,Cell8,TCN,True,339,72,17,5,0.02095856110852117,0.019347185308702813,0.8877657850011071
MultiHI-DeepSequence,medium_37_40,Cell8,TransformerEncoder,True,339,72,17,5,0.00830478641977171,0.007304476035133543,0.9823778342180995
MultiHI-DeepSequence,narrow_375_395,Cell1,LSTM,True,338,74,17,5,0.05405867529684459,0.030651092864843233,0.2553702050257286
MultiHI-DeepSequence,narrow_375_395,Cell1,GRU,True,338,74,17,5,0.0380014722301495,0.027534912547660197,0.6320316582351804
MultiHI-DeepSequence,narrow_375_395,Cell1,TCN,True,338,74,17,5,0.03215176712565867,0.019417730530076522,0.7365978553885337
MultiHI-DeepSequence,narrow_375_395,Cell1,TransformerEncoder,True,338,74,17,5,0.05034493440096061,0.0206122594154427,0.35416560549707643
MultiHI-DeepSequence,narrow_375_395,Cell2,LSTM,True,345,67,17,5,0.02026671870855874,0.01682435261653344,0.9122740301235673
MultiHI-DeepSequence,narrow_375_395,Cell2,GRU,True,345,67,17,5,0.09607458817738992,0.06836423760525545,-0.9714163857109017
MultiHI-DeepSequence,narrow_375_395,Cell2,TCN,True,345,67,17,5,0.0252226405083911,0.02240823212100779,0.8641241108845412
MultiHI-DeepSequence,narrow_375_395,Cell2,TransformerEncoder,True,345,67,17,5,0.02567896654909932,0.017961480554400614,0.8591631243777593
MultiHI-DeepSequence,narrow_375_395,Cell3,LSTM,True,340,72,17,5,0.008516501780193867,0.006743247153798085,0.9811864073518354
MultiHI-DeepSequence,narrow_375_395,Cell3,GRU,True,340,72,17,5,0.012163310030640407,0.010124027860429324,0.9616246096047838
MultiHI-DeepSequence,narrow_375_395,Cell3,TCN,True,340,72,17,5,0.018536736423347074,0.016480298561690768,0.9108716631195282
MultiHI-DeepSequence,narrow_375_395,Cell3,TransformerEncoder,True,340,72,17,5,0.008425241290257984,0.006551179876787338,0.9815874496132446
MultiHI-DeepSequence,narrow_375_395,Cell4,LSTM,True,369,43,17,5,0.010993275285633597,0.009545505827097565,0.9586118943899815
MultiHI-DeepSequence,narrow_375_395,Cell4,GRU,True,369,43,17,5,0.03569122446127558,0.03002587061548812,0.5637411632847894
MultiHI-DeepSequence,narrow_375_395,Cell4,TCN,True,369,43,17,5,0.006901675286496154,0.005766293366430203,0.983687129562625
MultiHI-DeepSequence,narrow_375_395,Cell4,TransformerEncoder,True,369,43,17,5,0.011055614952102957,0.010236829838571005,0.9581411636588217
