experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,seq_len,n_experts
ApproxPaper-GPR-EKF,narrow_375_395,Cell1,ApproxPaper-GPR-EKF,False,441.0,78.0,1,0.022013851131895967,0.013087610983714998,0.897492445436584,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell2,ApproxPaper-GPR-EKF,False,446.0,73.0,1,0.01648877426527817,0.010854953859773416,0.9534111439312317,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell3,ApproxPaper-GPR-EKF,False,443.0,76.0,1,0.011075644300464317,0.006682333504549699,0.9729376771947323,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell4,ApproxPaper-GPR-EKF,False,472.0,47.0,1,0.011343018968383809,0.006080266393221822,0.9658526252492127,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell5,ApproxPaper-GPR-EKF,False,473.0,46.0,1,0.025991825802090387,0.007627882162324802,0.8360168397350324,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell6,ApproxPaper-GPR-EKF,False,473.0,46.0,1,0.009726224828569361,0.004134801488743364,0.9696701660609869,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell7,ApproxPaper-GPR-EKF,False,442.0,77.0,1,0.008446498518889387,0.006116682679722109,0.9778885027056097,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell8,ApproxPaper-GPR-EKF,False,443.0,76.0,1,0.009603853074200934,0.00666134023283152,0.9796129318196933,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell1,ApproxPaper-GPR-EKF,False,441.0,78.0,1,0.021116846220516846,0.013913671138859418,0.9056760591896852,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell2,ApproxPaper-GPR-EKF,False,446.0,73.0,1,0.016934033283793774,0.011341464160464824,0.9508610219485144,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell3,ApproxPaper-GPR-EKF,False,443.0,76.0,1,0.012218745928467091,0.007716101667583693,0.9670632806406927,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell4,ApproxPaper-GPR-EKF,False,472.0,47.0,1,0.012297449837880834,0.006843566527236788,0.9598643663831907,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell5,ApproxPaper-GPR-EKF,False,473.0,46.0,1,0.026218833740490836,0.006835814951370227,0.8331399322216178,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell6,ApproxPaper-GPR-EKF,False,473.0,46.0,1,0.015209015046902514,0.006512041621918557,0.9258376295238203,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell7,ApproxPaper-GPR-EKF,False,442.0,77.0,1,0.007858555233732939,0.005240374786838044,0.9808596378138784,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell8,ApproxPaper-GPR-EKF,False,443.0,76.0,1,0.00887336072159122,0.0057745815149244945,0.9825963622724613,,
ApproxPaper-GPR-EKF,full_36_42,Cell1,ApproxPaper-GPR-EKF,True,438.0,78.0,1,0.008966908167371895,0.005500739611207215,0.9829921558860493,,
ApproxPaper-GPR-EKF,full_36_42,Cell2,ApproxPaper-GPR-EKF,True,445.0,71.0,1,0.014750292371197047,0.010521785100162873,0.9604883278399926,,
ApproxPaper-GPR-EKF,full_36_42,Cell3,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.005113962773532134,0.0034827167931939795,0.9942304466272278,,
ApproxPaper-GPR-EKF,full_36_42,Cell4,ApproxPaper-GPR-EKF,True,469.0,47.0,1,0.003846569786777483,0.0029040980189843748,0.9960731235606909,,
ApproxPaper-GPR-EKF,full_36_42,Cell5,ApproxPaper-GPR-EKF,True,471.0,45.0,1,0.001772123654533187,0.0012764283619569852,0.9987564087758362,,
ApproxPaper-GPR-EKF,full_36_42,Cell6,ApproxPaper-GPR-EKF,True,470.0,46.0,1,0.004398439730828255,0.0020103108881097194,0.9937973294483675,,
ApproxPaper-GPR-EKF,full_36_42,Cell7,ApproxPaper-GPR-EKF,True,439.0,77.0,1,0.004338816084173546,0.003830814582111122,0.9941654520346378,,
ApproxPaper-GPR-EKF,full_36_42,Cell8,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.0030831450255644423,0.0022889744789115645,0.9978988760752452,,
ApproxPaper-GPR-EKF,medium_37_40,Cell1,ApproxPaper-GPR-EKF,True,438.0,78.0,1,0.010452097845478838,0.006470365484105775,0.9768915532081611,,
ApproxPaper-GPR-EKF,medium_37_40,Cell2,ApproxPaper-GPR-EKF,True,445.0,71.0,1,0.015686194717958284,0.011314833229893536,0.95531524760718,,
ApproxPaper-GPR-EKF,medium_37_40,Cell3,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.0067672479280794975,0.004456849977961122,0.9898969792205172,,
ApproxPaper-GPR-EKF,medium_37_40,Cell4,ApproxPaper-GPR-EKF,True,469.0,47.0,1,0.0035677726102677806,0.002832223945594213,0.9966217301420297,,
ApproxPaper-GPR-EKF,medium_37_40,Cell5,ApproxPaper-GPR-EKF,True,471.0,45.0,1,0.0026284102354966078,0.002129648492676105,0.9972642531814487,,
ApproxPaper-GPR-EKF,medium_37_40,Cell6,ApproxPaper-GPR-EKF,True,470.0,46.0,1,0.0054926855659558635,0.0023357632982749944,0.9903272291359947,,
