exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,adaptive_all_windows,MAW-GME,MAW-GME,0.005986588688228504,0.0036527342174690015,0.00367894075473971,0.0021059076888927074,0.9885814611091747,0.012947657391493204
False,full_36_42,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.012709152130987332,0.006968140421484784,0.006128738884743245,0.003082645432142448,0.9533291627407166,0.05158007777604675
False,full_36_42,MultiHI-Tabular,CatBoost,0.008324127964243784,0.004958581846707675,0.0055955450153923475,0.002479338450446884,0.9780819638833979,0.026116294169165808
False,full_36_42,MultiHI-Tabular,ElasticNet,0.005536238640817852,0.0022597869664222918,0.004242276075119173,0.0023810420633768067,0.9912128702672984,0.007620114873334998
False,full_36_42,MultiHI-Tabular,ExtraTrees,0.005408970700088519,0.0028467710509632867,0.003497842306745149,0.001879707025714894,0.9909677199338314,0.008822112358647964
False,full_36_42,MultiHI-Tabular,HistGB,0.007622980263389775,0.005331386270047309,0.0041662768058306505,0.0015595888374019197,0.9802365994865176,0.029072671681246956
False,full_36_42,MultiHI-Tabular,KNN,0.008170544004290787,0.004837055421960192,0.0052810386310411924,0.00288749517791336,0.9790048306563871,0.023624530239092948
False,full_36_42,MultiHI-Tabular,LightGBM,0.007899425888267888,0.00534580476292876,0.004388909558049661,0.0017067838981053476,0.9792106182886838,0.029575064861981474
False,full_36_42,MultiHI-Tabular,RandomForest,0.006720769959426851,0.004709631564787594,0.0038879565827070854,0.0019379552936818305,0.9845839357135993,0.0214300720661688
False,full_36_42,MultiHI-Tabular,Ridge,0.004354051543705096,0.0015715201557106972,0.003587962740896787,0.00172899462099411,0.9948117139230042,0.0033997885000316254
False,full_36_42,MultiHI-Tabular,SVR-RBF,0.007580908056838226,0.005567257887394561,0.003971562203808172,0.0011897146702578314,0.979913688902333,0.031734088579593756
False,full_36_42,MultiHI-Tabular,XGBoost,0.005893304829624657,0.0032628523149430405,0.0037190776080080045,0.0018283924505768765,0.9897445417583992,0.00942014161209464
False,full_36_42,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.008512267422794054,0.007813378694818046,0.004453381272125458,0.003128387003102153,0.9720352963265508,0.047381341367404343
False,medium_37_40,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.013659087983940976,0.006909783626759468,0.006869003172973609,0.0032777213925262927,0.9478785862579975,0.05213119865426393
False,medium_37_40,MultiHI-Tabular,CatBoost,0.009074099642063814,0.005801673236347983,0.005573749255928251,0.0021674700531075113,0.9731425573901844,0.03352672985999955
False,medium_37_40,MultiHI-Tabular,ElasticNet,0.006729383777173834,0.0031445407761718108,0.0050049681136692375,0.003240050269394254,0.9863578007767017,0.01294702612955207
False,medium_37_40,MultiHI-Tabular,ExtraTrees,0.006361406621752728,0.0032163257397567276,0.0040596682800940025,0.002022392395297364,0.9878298777629431,0.011356598247040713
False,medium_37_40,MultiHI-Tabular,HistGB,0.007632834709306547,0.00558067130070849,0.004187449609028754,0.0019868553221374747,0.9799833325219063,0.027717613952587265
False,medium_37_40,MultiHI-Tabular,KNN,0.010170158056083732,0.004691033970234682,0.0062646206623026965,0.0024598142234897144,0.9698269640439601,0.027871306501182736
False,medium_37_40,MultiHI-Tabular,LightGBM,0.007784414062426652,0.005893871106078239,0.0042664453150854315,0.002170701469091301,0.9788296885691702,0.029379793459655152
False,medium_37_40,MultiHI-Tabular,RandomForest,0.007339222890035482,0.004781645832492135,0.004204126851702208,0.0022765252271563885,0.9821816422866292,0.021399399647578973
False,medium_37_40,MultiHI-Tabular,Ridge,0.0054017741272394185,0.001596745361096256,0.004259428284513019,0.0019626317750088508,0.9925171479017298,0.004424279534369432
False,medium_37_40,MultiHI-Tabular,SVR-RBF,0.011149928872448374,0.010702210726630867,0.0048849615264056016,0.0015918360438988539,0.9482952858536411,0.10073528165265469
False,medium_37_40,MultiHI-Tabular,XGBoost,0.006405193534912364,0.0034090522586489275,0.00398455615913143,0.0019709174298323737,0.9879520858546653,0.01036870370455798
False,medium_37_40,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.009555461643950252,0.007385820913490169,0.005194544396373503,0.003065590485660636,0.9687731057535738,0.04707016773155168
False,narrow_375_395,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.014336211361221542,0.006517662090807988,0.007655733913110216,0.0029013578443364873,0.9441102915166354,0.05113341540149647
False,narrow_375_395,MultiHI-Tabular,CatBoost,0.009237188108414087,0.005779495199094774,0.005941218783159319,0.0024816341060116508,0.9725374250785931,0.034460158183019
False,narrow_375_395,MultiHI-Tabular,ElasticNet,0.005669410094423017,0.0028168876097332206,0.004252655397484997,0.002741145206640508,0.9901052664508684,0.010906071058178576
False,narrow_375_395,MultiHI-Tabular,ExtraTrees,0.006996721830349073,0.0036532587345119304,0.0044914979425989526,0.002262494925609473,0.9848482581243716,0.015470135449516349
False,narrow_375_395,MultiHI-Tabular,HistGB,0.00770850869009241,0.00504941437299918,0.004274998007939731,0.0019082186446168648,0.9804541476818552,0.025974276543061288
False,narrow_375_395,MultiHI-Tabular,KNN,0.009733891936637401,0.004556906989433744,0.00584563290553856,0.0030654523816198384,0.9725172329593781,0.024815369327200677
False,narrow_375_395,MultiHI-Tabular,LightGBM,0.007672638759598176,0.005146262277602453,0.004344389509292775,0.0020707030706147564,0.9802488931940708,0.026282873260920596
False,narrow_375_395,MultiHI-Tabular,RandomForest,0.00780767662458056,0.004873506748339295,0.0047570724449513165,0.002445239912501459,0.9805826388988103,0.022109745390708268
False,narrow_375_395,MultiHI-Tabular,Ridge,0.004306791912777459,0.0018554448895377186,0.0035830438477939645,0.0018966541302864021,0.9946740959987277,0.004417238460353404
