scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell2,very_narrow_38_39,LightGBM,17,0.005713044842313358,0.030964036284020887
all_windows_available,All window-specific features are available.,False,Cell2,very_narrow_38_39,CatBoost,17,0.00805165388756626,0.021970519373413957
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,Ridge,17,0.004607319002131476,0.04974133407259065
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,ExtraTrees,17,0.006095854953922462,0.03759510632365503
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,RandomForest,17,0.0057315862124596275,0.03998444457395065
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,HistGB,17,0.006144622918160211,0.03729672612338502
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,XGBoost,17,0.0066367388297431,0.03453116834108493
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,LightGBM,17,0.006742613846016869,0.03398894796908178
all_windows_available,All window-specific features are available.,False,Cell3,full_36_42,CatBoost,17,0.00932548352862977,0.024575073734572732
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,Ridge,17,0.005203823330222927,0.04403959091970761
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,ExtraTrees,17,0.0059273479796084156,0.03866388564108585
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,RandomForest,17,0.005749309842346909,0.03986118312454275
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,HistGB,17,0.0039410403350714695,0.05815066329854461
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,XGBoost,17,0.006745016650271333,0.03397683996817691
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,LightGBM,17,0.004640848835642615,0.049381956916520565
all_windows_available,All window-specific features are available.,False,Cell3,medium_37_40,CatBoost,17,0.007601235176579207,0.030149624930331888
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,Ridge,17,0.0034201751932558004,0.06700651518206172
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,ExtraTrees,17,0.007394979470995512,0.03099053649450376
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,RandomForest,17,0.006477972204390702,0.035377480802899625
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,HistGB,17,0.005847520139050276,0.03919170754621861
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,XGBoost,17,0.006528589033049502,0.035103195940999636
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,LightGBM,17,0.005632165855434173,0.04069025842938472
all_windows_available,All window-specific features are available.,False,Cell3,narrow_375_395,CatBoost,17,0.008357292521441394,0.027422088704984606
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,Ridge,17,0.007844787772467901,0.029213588128640975
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,ExtraTrees,17,0.010315381560064037,0.02221677090422874
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,RandomForest,17,0.009828720764082791,0.023316814406477825
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,HistGB,17,0.008377449554129316,0.027356108328138142
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,XGBoost,17,0.010081087920453816,0.022733108326661384
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,LightGBM,17,0.008516843966476817,0.026908373911236686
all_windows_available,All window-specific features are available.,False,Cell3,very_narrow_38_39,CatBoost,17,0.011159152943312161,0.020536906956332684
