experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2
SingleHI-Polynomial-EKF,full_36_42,Cell3,SingleHI-Polynomial-EKF,True,440,76,1,0.004258640180220707,0.0029660264994563115,0.9959989961864267
SingleHI-Polynomial-EKF,full_36_42,Cell4,SingleHI-Polynomial-EKF,True,469,47,1,0.0036307547514315038,0.0031406052761168454,0.9965014036973066
SingleHI-Polynomial-EKF,full_36_42,Cell5,SingleHI-Polynomial-EKF,True,471,45,1,0.0017777273944322262,0.0014378359832991283,0.9987485314700787
SingleHI-Polynomial-EKF,full_36_42,Cell6,SingleHI-Polynomial-EKF,True,470,46,1,0.005251386098923483,0.0026507805084181576,0.9911584313338269
SingleHI-Polynomial-EKF,full_36_42,Cell7,SingleHI-Polynomial-EKF,True,439,77,1,0.006168312761997264,0.004907408022238189,0.9882077275585665
SingleHI-Polynomial-EKF,full_36_42,Cell8,SingleHI-Polynomial-EKF,True,440,76,1,0.004814738651501741,0.0038008089196902295,0.9948759991034506
SingleHI-Polynomial-EKF,medium_37_40,Cell1,SingleHI-Polynomial-EKF,True,438,78,1,0.0048358523078009035,0.0032675655134874314,0.9950533648444486
SingleHI-Polynomial-EKF,medium_37_40,Cell2,SingleHI-Polynomial-EKF,True,445,71,1,0.015332857366312822,0.01136373767266477,0.9573056561355183
SingleHI-Polynomial-EKF,medium_37_40,Cell3,SingleHI-Polynomial-EKF,True,440,76,1,0.004828545704774358,0.0030937581393663347,0.9948564879238382
SingleHI-Polynomial-EKF,medium_37_40,Cell4,SingleHI-Polynomial-EKF,True,469,47,1,0.005065969796275094,0.004460736225489311,0.9931887754777321
SingleHI-Polynomial-EKF,medium_37_40,Cell5,SingleHI-Polynomial-EKF,True,471,45,1,0.0022448367432118988,0.001841854736551052,0.9980044660179559
SingleHI-Polynomial-EKF,medium_37_40,Cell6,SingleHI-Polynomial-EKF,True,470,46,1,0.007070761444841126,0.00364765941115633,0.9839707281641281
SingleHI-Polynomial-EKF,medium_37_40,Cell7,SingleHI-Polynomial-EKF,True,439,77,1,0.008196470148637681,0.006785155625623295,0.9791781911757371
SingleHI-Polynomial-EKF,medium_37_40,Cell8,SingleHI-Polynomial-EKF,True,440,76,1,0.0056473638648412115,0.004268149279717491,0.9929505489059617
SingleHI-Polynomial-EKF,narrow_375_395,Cell1,SingleHI-Polynomial-EKF,True,438,78,1,0.004372594613934901,0.002967195821603568,0.9959557103355796
SingleHI-Polynomial-EKF,narrow_375_395,Cell2,SingleHI-Polynomial-EKF,True,445,71,1,0.015410194455163314,0.011496490003121479,0.9568738796872331
SingleHI-Polynomial-EKF,narrow_375_395,Cell3,SingleHI-Polynomial-EKF,True,440,76,1,0.004576457121177817,0.0030424744532961882,0.995379533073519
SingleHI-Polynomial-EKF,narrow_375_395,Cell4,SingleHI-Polynomial-EKF,True,469,47,1,0.006175595480721841,0.005524123454226595,0.989878201541923
SingleHI-Polynomial-EKF,narrow_375_395,Cell5,SingleHI-Polynomial-EKF,True,471,45,1,0.002592868601794399,0.0021827793891953675,0.9973377390576684
SingleHI-Polynomial-EKF,narrow_375_395,Cell6,SingleHI-Polynomial-EKF,True,470,46,1,0.008950778017535762,0.004600618121578967,0.9743136144521307
SingleHI-Polynomial-EKF,narrow_375_395,Cell7,SingleHI-Polynomial-EKF,True,439,77,1,0.011500785581425548,0.01005370628996661,0.9590060520971603
SingleHI-Polynomial-EKF,narrow_375_395,Cell8,SingleHI-Polynomial-EKF,True,440,76,1,0.0063545096213401715,0.0049555890247527335,0.9910745968073141
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell1,SingleHI-Polynomial-EKF,True,438,78,1,0.00439031397692063,0.003092195038132917,0.9959228660205655
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell2,SingleHI-Polynomial-EKF,True,445,71,1,0.01597347826853213,0.01202671785466033,0.9536635089365924
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell3,SingleHI-Polynomial-EKF,True,440,76,1,0.004876726037892632,0.0035354001769554826,0.9947533295306342
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell4,SingleHI-Polynomial-EKF,True,469,47,1,0.005897483564876493,0.0050949749933652,0.9907693245254848
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell5,SingleHI-Polynomial-EKF,True,471,45,1,0.002679938149140835,0.0022545158079178697,0.9971559374393895
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell6,SingleHI-Polynomial-EKF,True,470,46,1,0.013803719645730596,0.006355708185149303,0.9389094993806371
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell7,SingleHI-Polynomial-EKF,True,439,77,1,0.012492164970763336,0.010876249316801761,0.951634002025683
SingleHI-Polynomial-EKF,very_narrow_38_39,Cell8,SingleHI-Polynomial-EKF,True,440,76,1,0.0052469442716666145,0.0041349403737514865,0.9939147746786313
