exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
True,full_36_42,GRU,0.02436972258182603,0.010837459985311954,0.020776128890144133,0.010089763059200509,0.7631292043423558,0.22276247853159412
True,full_36_42,LSTM,0.021042022203701768,0.013986016922432317,0.01519971205121437,0.006376150845304288,0.8125054166381813,0.22644591499568975
True,full_36_42,TCN,0.025997322085999773,0.012422301155562962,0.02102034041275212,0.011009664724271692,0.7425865376926182,0.2435125020336816
True,full_36_42,TransformerEncoder,0.018428637762574116,0.017754038991534923,0.012909637691700943,0.007564250316490131,0.8297462655488129,0.32768051812766974
True,medium_37_40,GRU,0.031087012059637258,0.014322690618146826,0.025681446389247388,0.011468371285704122,0.6663739635944808,0.22751333436288504
True,medium_37_40,LSTM,0.01572573828371812,0.0064613134728107365,0.011664703133114932,0.0038493975219292126,0.915029399913329,0.056222259078641826
True,medium_37_40,TCN,0.018817263130343567,0.00675809797223105,0.01523669150000313,0.005490087502459436,0.8786109495573987,0.08245031039291648
True,medium_37_40,TransformerEncoder,0.024466029351689747,0.03200480382629326,0.014128416732284502,0.01062139953835458,0.609919496322988,0.9324006861756707
True,narrow_375_395,GRU,0.035785002017865095,0.02645129707512779,0.02811386312341965,0.018153651805150137,0.5094950281931441,0.623910976911784
True,narrow_375_395,LSTM,0.020293197332995602,0.014772671725299525,0.014840910820365406,0.008080271350477388,0.8226267881926267,0.24085358021940334
True,narrow_375_395,TCN,0.02291437872253469,0.01306555343877616,0.019165826012727046,0.011010074692147825,0.7997793987147215,0.2151495126089992
True,narrow_375_395,TransformerEncoder,0.016996056278036704,0.014774896159236378,0.011084168757172289,0.005627247420399309,0.8698030403353906,0.21298958075422172
True,very_narrow_38_39,GRU,0.026032519377889838,0.011411427582564264,0.02076277352842927,0.008157394872244103,0.7602509430769708,0.19279391812975166
True,very_narrow_38_39,LSTM,0.025946322177303055,0.0181957237942371,0.018496484542490175,0.008225176674524125,0.7218722348184881,0.3763507016913498
True,very_narrow_38_39,TCN,0.023403124509054074,0.00968395596331661,0.01868811871190762,0.008420731660340953,0.8235464386143252,0.1271471298941864
True,very_narrow_38_39,TransformerEncoder,0.013875017695540056,0.013209583782082805,0.009371222829092078,0.00518954877048796,0.9033580629794419,0.180549721233989
