dataset,test_cell,train_rows,test_rows,fit_time_ms,model_size_kb
Dataset 2,Cell1,441,78,7329.909062999832,3030.9052734375
Dataset 2,Cell2,446,73,4391.639719999603,3099.9677734375
Dataset 2,Cell3,443,76,4480.657027999769,3058.4365234375
Dataset 2,Cell4,472,47,6738.07673500005,3471.6865234375
Dataset 2,Cell5,473,46,8982.897913000215,3486.4052734375
Dataset 2,Cell6,473,46,7880.739935999827,3486.4052734375
Dataset 2,Cell7,442,77,5202.793949000352,3044.6552734375
Dataset 2,Cell8,443,76,5392.694401999961,3058.4365234375
