dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell1,Fast-MAW-GME-K3-latency-aware,medium_37_40,Ridge,0.004743838950111873,0.004854403193228719,0.32517214511906894,2.20703125,17
Dataset 2,Cell1,Fast-MAW-GME-K3-latency-aware,full_36_42,Ridge,0.00491481866736992,0.0050285262333058375,0.31391241468667885,2.1796875,17
Dataset 2,Cell1,Fast-MAW-GME-K5-latency-aware,narrow_375_395,Ridge,0.004273322351673966,0.004373645919200629,0.23277641618873782,2.234375,17
Dataset 2,Cell1,Fast-MAW-GME-K5-latency-aware,medium_37_40,Ridge,0.004743838950111873,0.004854403193228719,0.2097233815889999,2.20703125,17
Dataset 2,Cell1,Fast-MAW-GME-K5-latency-aware,full_36_42,Ridge,0.00491481866736992,0.0050285262333058375,0.20246129356114395,2.1796875,17
Dataset 2,Cell1,Fast-MAW-GME-K5-latency-aware,full_36_42,ElasticNet,0.00556902161902252,0.005700734954397622,0.17858787906812426,2.2626953125,17
Dataset 2,Cell1,Fast-MAW-GME-K5-latency-aware,narrow_375_395,ElasticNet,0.005634633500897416,0.0057697718644783074,0.17645102959299402,2.3173828125,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,Ridge,0.005134030997087597,0.005252810184607607,0.04372150248724255,2.1796875,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,Ridge,0.005323187516230718,0.005448158468172235,0.042153834285415664,2.234375,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,ElasticNet,0.00619268367186925,0.006339147283818381,0.036228978156545015,2.2626953125,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,Ridge,0.006640175455310872,0.006794937448940987,0.033798817796913606,2.20703125,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,ElasticNet,0.006837573912161201,0.00700324343301084,0.032793499901605495,2.3583984375,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,ElasticNet,0.006878361893204595,0.007043329245600591,0.032606861995155244,2.3173828125,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,Ridge,0.007146969432023161,0.007316558031015365,0.0313891963818025,2.275390625,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,ExtraTrees,0.007035714601683741,0.008469260822368832,0.027116996915458623,30974.0595703125,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,ElasticNet,0.008410197819348543,0.008610511816446717,0.02667215711917597,2.2900390625,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,HistGB,0.007890197709927646,0.008933671529525426,0.025707340250191273,845.2412109375,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,LightGBM,0.007895666950414779,0.0089637106339677,0.02562119014464445,885.60546875,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,LightGBM,0.007965643361531743,0.009043609189593644,0.025394832085657362,887.845703125,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,HistGB,0.008008977732495598,0.009068579485832425,0.0253249075972787,853.4951171875,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,KNN,0.008448267668023382,0.009131198010261316,0.025151238533639195,64.8994140625,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,LightGBM,0.008359278571760071,0.009490071855947248,0.024200127485985296,887.1298828125,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,ExtraTrees,0.007987701715444695,0.00961520348136205,0.023885188946821647,30971.4150390625,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,RandomForest,0.00827690903495109,0.009751726988477503,0.023550798287292132,8626.3603515625,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,HistGB,0.008626397984197638,0.009766309758883502,0.02351563295451781,853.0400390625,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,XGBoost,0.008672479512042955,0.009795532839829894,0.02344547867551846,653.73046875,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,RandomForest,0.00834405128808482,0.009831016602288876,0.023360855387461694,8647.0400390625,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,SVR-RBF,0.009343772123134534,0.009968264063662172,0.023039213137563533,32.162109375,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,ExtraTrees,0.008324172400255656,0.010020242646012308,0.022919700618302875,30974.2958984375,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,XGBoost,0.0089425963271014,0.010101142020788,0.022736138441805498,654.7353515625,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,SVR-RBF,0.009617080286196119,0.010193846918976523,0.022529371619767407,21.515625,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,ExtraTrees,0.008496630097843592,0.010227809330974339,0.02245456077532032,30967.5048828125,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,KNN,0.009707974926930051,0.01049306200261679,0.021886935561776934,64.9951171875,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,SVR-RBF,0.009936444960939804,0.010542984166122028,0.021783298667121843,23.56640625,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,RandomForest,0.008974420588909056,0.010573960730806704,0.02171948425176302,8625.4443359375,17
Dataset 2,Cell2,MAW-GME-full-40experts,full_36_42,CatBoost,0.009617318547637962,0.010621632790614632,0.021622002857155934,179.16015625,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,CatBoost,0.00963422484549918,0.010645782196803424,0.021572954508290977,187.060546875,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,CatBoost,0.0097713427255067,0.010786897146554952,0.02129073585654317,180.46875,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,KNN,0.010033169340567272,0.010844410617139557,0.021177820270396084,64.9541015625,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,HistGB,0.009578176897134852,0.010845409253219558,0.02117587023647632,852.5537109375,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,LightGBM,0.009691369996849929,0.011002872937303235,0.020872819612370464,888.482421875,17
Dataset 2,Cell2,MAW-GME-full-40experts,very_narrow_38_39,XGBoost,0.009830515938170121,0.011105391732457011,0.02068013353313856,661.833984375,17
Dataset 2,Cell2,MAW-GME-full-40experts,medium_37_40,KNN,0.010491328471482998,0.011339513925714678,0.020253159856698733,64.9267578125,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,CatBoost,0.010437042390608728,0.011522707481786037,0.01993116564121136,174.87109375,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,XGBoost,0.010677577773681834,0.012061173418583784,0.01904134800010578,654.888671875,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,SVR-RBF,0.011384069016243016,0.012100238235877546,0.018979874320710875,25.76171875,17
Dataset 2,Cell2,MAW-GME-full-40experts,narrow_375_395,RandomForest,0.01042742675837835,0.012285294120607663,0.018693976845157632,8627.9375,17
Dataset 2,Cell2,Fast-MAW-GME-K3-latency-aware,full_36_42,Ridge,0.005134030997087597,0.005252810184607607,0.3580668096176005,2.1796875,17
Dataset 2,Cell2,Fast-MAW-GME-K3-latency-aware,narrow_375_395,Ridge,0.005323187516230718,0.005448158468172235,0.34522804791834505,2.234375,17
Dataset 2,Cell2,Fast-MAW-GME-K3-latency-aware,full_36_42,ElasticNet,0.00619268367186925,0.006339147283818381,0.29670514246405444,2.2626953125,17
