feature,corr_with_soh,abs_corr,valid_count
capacity_mAh,0.9978115773877856,0.9978115773877856,519
charge_time_window_very_narrow_38_39,0.9913201444517057,0.9913201444517057,519
ic_mean_very_narrow_38_39,0.9911660246775039,0.9911660246775039,519
ic_area_very_narrow_38_39,0.991161426553289,0.991161426553289,519
q_delta_window_very_narrow_38_39,0.9911471873135932,0.9911471873135932,519
soh_rolling_median,0.9897074248335392,0.9897074248335392,519
ic_mean_narrow_375_395,0.9876518997556407,0.9876518997556407,519
q_delta_window_narrow_375_395,0.9875760109820452,0.9875760109820452,519
ic_area_narrow_375_395,0.9875757496445766,0.9875757496445766,519
charge_time_window_narrow_375_395,0.987263774638898,0.987263774638898,519
q_delta_window_full_36_42,0.9830187584741644,0.9830187584741644,519
ic_area_full_36_42,0.982974605983324,0.982974605983324,519
ic_mean_full_36_42,0.982968725096071,0.982968725096071,519
charge_time_window_full_36_42,0.9825907753383909,0.9825907753383909,519
ic_mean_medium_37_40,0.9717945968405144,0.9717945968405144,519
ic_area_medium_37_40,0.9716759451634417,0.9716759451634417,519
q_delta_window_medium_37_40,0.9716411026857,0.9716411026857,519
charge_time_window_medium_37_40,0.9713018877053381,0.9713018877053381,519
ic_std_full_36_42,0.9665887863951806,0.9665887863951806,519
peak_width_full_36_42,-0.9646385551384862,0.9646385551384862,519
ic_std_medium_37_40,0.9642766262176355,0.9642766262176355,519
peak_width_medium_37_40,-0.9620060654519813,0.9620060654519813,519
pmax_norm_full_36_42,0.9593681682117003,0.9593681682117003,519
pmax_voltage_full_36_42,-0.9567407686242282,0.9567407686242282,519
pmax_full_36_42,0.9564036311291808,0.9564036311291808,519
pmax_voltage_medium_37_40,-0.9537269514719423,0.9537269514719423,519
ic_std_narrow_375_395,0.9520085428321953,0.9520085428321953,519
pmax_voltage_narrow_375_395,-0.9505170244431937,0.9505170244431937,519
pmax_norm_medium_37_40,0.9499224804066243,0.9499224804066243,519
dva_std_very_narrow_38_39,0.9480709466517794,0.9480709466517794,519
cycle_number,-0.9475128663084533,0.9475128663084533,519
pmax_medium_37_40,0.9467543453645795,0.9467543453645795,519
pmax_norm_narrow_375_395,0.94611375910349,0.94611375910349,519
dva_abs_mean_very_narrow_38_39,-0.9447844125489537,0.9447844125489537,519
dva_mean_very_narrow_38_39,-0.9447844125489537,0.9447844125489537,519
pmax_norm_very_narrow_38_39,0.9438818075462919,0.9438818075462919,519
pmax_narrow_375_395,0.9434607545281098,0.9434607545281098,519
pmax_very_narrow_38_39,0.940700207670828,0.940700207670828,519
ic_std_very_narrow_38_39,0.9345453264501936,0.9345453264501936,519
peak_width_narrow_375_395,-0.930584109982979,0.930584109982979,519
dva_std_narrow_375_395,0.8818533398849151,0.8818533398849151,519
dva_abs_mean_full_36_42,-0.8783527336368347,0.8783527336368347,519
dva_mean_full_36_42,-0.8783527336368347,0.8783527336368347,519
pmax_voltage_very_narrow_38_39,-0.86654410108931,0.86654410108931,519
peak_width_very_narrow_38_39,-0.8291915983266707,0.8291915983266707,519
dva_std_full_36_42,-0.8236731343023004,0.8236731343023004,519
dva_std_medium_37_40,0.7898486602588132,0.7898486602588132,519
dva_mean_narrow_375_395,-0.6420017495331215,0.6420017495331215,519
dva_abs_mean_narrow_375_395,-0.6420017495331215,0.6420017495331215,519
temp_max,-0.07409905237490537,0.07409905237490537,519
soh_delta,0.06637630738414942,0.06637630738414942,511
temp_max_window_full_36_42,-0.03367023598545887,0.03367023598545887,519
temp_mean,-0.028769352535283864,0.028769352535283864,519
temp_max_window_very_narrow_38_39,0.025411390484966892,0.025411390484966892,519
temp_mean_window_full_36_42,-0.024798512163744367,0.024798512163744367,519
temp_mean_window_medium_37_40,-0.016160770111620027,0.016160770111620027,519
temp_max_window_medium_37_40,-0.01412207167359418,0.01412207167359418,519
temp_mean_window_narrow_375_395,-0.011345349618445237,0.011345349618445237,519
temp_mean_window_very_narrow_38_39,-0.007383847264302313,0.007383847264302313,519
temp_max_window_narrow_375_395,0.0008572513470156945,0.0008572513470156945,519
dva_abs_mean_medium_37_40,-0.000753626363101213,0.000753626363101213,519
dva_mean_medium_37_40,-0.000753626363101213,0.000753626363101213,519
