dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 1,Cell01,1.0,42,narrow_36_385,0.0188,0.0156,0.021303196252861308,0.01842199744123568,0.9386245751365331,11,0,1.8830233636683922,1.869199999873672,2.034014499940895
Dataset 1,Cell01,0.8,42,narrow_36_385,0.0188,0.0156,0.021479600186857208,0.01856343562644981,0.9376039120475688,9,2,1.643085363618659,1.853589999882388,1.941669999723672
Dataset 1,Cell01,0.8,43,narrow_36_385,0.0188,0.0156,0.02353652569998752,0.0196138172125363,0.9250813942790193,9,2,1.506563272786562,1.611628999853565,1.9329790002302616
Dataset 1,Cell01,0.8,44,narrow_36_385,0.0188,0.0156,0.0240905864647297,0.020220403093782036,0.9215126402059601,8,3,1.3244888182684504,1.5228500001285283,1.733824499979164
Dataset 1,Cell01,0.8,45,narrow_36_385,0.0188,0.0156,0.021742906440932675,0.018792304368821247,0.936064779227162,10,1,1.5384825454599527,1.5786500002832327,2.0051250000960863
Dataset 1,Cell01,0.8,46,narrow_36_385,0.0188,0.0156,0.026035542207511947,0.021527961352906858,0.9083276787966494,8,3,1.369179090943362,1.6350600003534055,1.7385445000854816
Dataset 1,Cell01,0.8,47,narrow_36_385,0.0188,0.0156,0.021161492637243214,0.018106620177788694,0.9394383679553523,9,2,1.443725181781536,1.621869000246079,1.7234544998245838
Dataset 1,Cell01,0.8,48,narrow_36_385,0.0188,0.0156,0.02193231331957255,0.0189962500796749,0.934946022084765,10,1,1.4997070908810366,1.6126489999805926,1.7190194998875086
Dataset 1,Cell01,0.8,49,narrow_36_385,0.0188,0.0156,0.022101368910735174,0.018109577960728138,0.9339392770005618,9,2,1.43923072718363,1.636799999687355,1.6868699999577075
Dataset 1,Cell01,0.8,50,narrow_36_385,0.0188,0.0156,0.022202785174613705,0.018178740752683654,0.9333316220630538,8,3,1.352748999992896,1.614649999737594,1.641010000184906
Dataset 1,Cell01,0.8,51,narrow_36_385,0.0188,0.0156,0.024629760427892538,0.020029736613525754,0.9179600569982702,8,3,1.396273636435746,1.6209600003094238,1.868800000011106
Dataset 1,Cell01,0.6,42,narrow_36_385,0.0188,0.0156,0.023855442849676254,0.018850711816624798,0.9230373627167519,5,6,1.1968371818098107,1.1114300000372168,1.7516495001927979
Dataset 1,Cell01,0.6,43,narrow_36_385,0.0188,0.0156,0.025616736406682654,0.020782987291720942,0.9112532262595673,7,4,1.2943407272442444,1.5936989998408535,1.757609500145918
Dataset 1,Cell01,0.6,44,narrow_36_385,0.0188,0.0156,0.028882108998683764,0.024013266168302724,0.8871860565903964,6,5,1.235093545470921,1.03966999995464,1.7077949999020348
Dataset 1,Cell01,0.6,45,narrow_36_385,0.0188,0.0156,0.025094973626391834,0.021065131599026253,0.914831605174232,5,6,1.1811388182484899,0.9241500001735403,1.7453195002872235
Dataset 1,Cell01,0.6,46,narrow_36_385,0.0188,0.0156,0.028232602781902132,0.022278171093583817,0.8922029662051945,4,7,1.0803099090811552,0.8751800000936782,1.7198350001308427
Dataset 1,Cell01,0.6,47,narrow_36_385,0.0188,0.0156,0.022070399785148447,0.017635857202522687,0.9341242799735336,6,5,1.2389716362949086,1.6200599998228427,1.7399099999693135
Dataset 1,Cell01,0.6,48,narrow_36_385,0.0188,0.0156,0.02943254995057801,0.025171720058231963,0.8828450199431381,7,4,1.3150578181673402,1.61195000009684,1.7062749998331128
Dataset 1,Cell01,0.6,49,narrow_36_385,0.0188,0.0156,0.023410691238627088,0.019275351661467464,0.9258803347504536,6,5,1.4520969089889233,1.1354690000189294,2.0811139997931605
Dataset 1,Cell01,0.6,50,narrow_36_385,0.0188,0.0156,0.023121140520382555,0.018600676098768597,0.9277024664798179,6,5,1.2132780909103695,1.590580000083719,1.6675899998972454
Dataset 1,Cell01,0.6,51,narrow_36_385,0.0188,0.0156,0.024465256775791054,0.019838549644936112,0.9190522966419811,6,5,1.2197499091102642,1.6159800002242264,1.7192044999774225
Dataset 1,Cell01,0.4,42,narrow_36_385,0.0188,0.0156,0.017460225629281335,0.013796171305219141,0.9587708218223725,3,8,1.0016452727292993,0.8935300002121949,1.6479039998102962
Dataset 1,Cell01,0.4,43,narrow_36_385,0.0188,0.0156,0.0330509194585382,0.027501884842796535,0.8522688540688799,4,7,1.0641726363990693,0.8612400001766218,1.7050144999757322
Dataset 1,Cell01,0.4,44,narrow_36_385,0.0188,0.0156,0.028528169806443977,0.02351050134882923,0.889934098086091,5,6,1.140200636365824,0.9051000001818466,1.6653089999181248
Dataset 1,Cell01,0.4,45,narrow_36_385,0.0188,0.0156,0.03539956093465787,0.03148997231672006,0.8305269186474966,0,11,0.7857772727055073,0.8430100001532992,0.9156654998605518
Dataset 1,Cell01,0.4,46,narrow_36_385,0.0188,0.0156,0.03231115183251724,0.026634319192598097,0.8588080763917025,3,8,0.99926254543706,0.8609299998170172,1.7154644999664015
Dataset 1,Cell01,0.4,47,narrow_36_385,0.0188,0.0156,0.023011928839512044,0.018435652662023395,0.9283838418275718,4,7,1.0718499090878388,0.8680589999130461,1.6918799999530165
Dataset 1,Cell01,0.4,48,narrow_36_385,0.0188,0.0156,0.028655912060243746,0.025209497314488395,0.8889461941817605,3,8,0.9979935454628669,0.8490600002915016,1.6431950000423967
Dataset 1,Cell01,0.4,49,narrow_36_385,0.0188,0.0156,0.02224241905234759,0.018950492639708605,0.9330933920654425,4,7,1.0761551818425439,0.8539899999959744,1.6743994999615097
Dataset 1,Cell01,0.4,50,narrow_36_385,0.0188,0.0156,0.022927257734201414,0.017980288005655362,0.9289098875641825,3,8,0.9991109090647528,0.8526800002073287,1.6642449998016673
Dataset 1,Cell01,0.4,51,narrow_36_385,0.0188,0.0156,0.028115442293505065,0.023948231800724452,0.8930957884489197,4,7,1.065662636392517,0.8674400000927562,1.708149499791034
Dataset 1,Cell03,1.0,42,narrow_36_385,0.0188,0.0156,0.017528764085627896,0.013956151867078725,0.8930682335634275,10,0,1.8261267999150732,1.8740900000011607,1.9470235498374677
Dataset 1,Cell03,0.8,42,narrow_36_385,0.0188,0.0156,0.01761839731341524,0.01453160656725715,0.8919718476654658,8,2,1.626869799929409,1.8784594999488036,1.9519314499348184
Dataset 1,Cell03,0.8,43,narrow_36_385,0.0188,0.0156,0.016719174097816272,0.012619903693239265,0.9027177090817754,9,1,1.701978799974313,1.864049999994677,1.9388009500517
Dataset 1,Cell03,0.8,44,narrow_36_385,0.0188,0.0156,0.016251077709934964,0.011664916719680462,0.9080887900946973,8,2,1.662562700039416,1.8334700000650628,2.157951449839856
Dataset 1,Cell03,0.8,45,narrow_36_385,0.0188,0.0156,0.016719174097816272,0.012619903693239265,0.9027177090817754,9,1,1.7179188000682188,1.870614500148804,1.9707810001364123
Dataset 1,Cell03,0.8,46,narrow_36_385,0.0188,0.0156,0.017376719050971733,0.013573741691511454,0.8949152469563061,8,2,1.5004658999714593,1.6394599999784987,1.9649015000140935
Dataset 1,Cell03,0.8,47,narrow_36_385,0.0188,0.0156,0.018345816776790206,0.014271075017643853,0.88286727344693,8,2,1.3527239999802987,1.5601099999003054,1.647618999891165
Dataset 1,Cell03,0.8,48,narrow_36_385,0.0188,0.0156,0.017172397788820074,0.013427557480720286,0.8973719613026533,9,1,1.3976916000046913,1.509745000021212,1.5750470000057248
Dataset 1,Cell03,0.8,49,narrow_36_385,0.0188,0.0156,0.01860459815174594,0.014738224779276787,0.8795394790614712,9,1,1.3870327999939036,1.5112900000531226,1.594908499896519
Dataset 1,Cell03,0.8,50,narrow_36_385,0.0188,0.0156,0.0175571944444334,0.014207064227992349,0.8927210814324289,8,2,1.3315698001406417,1.5164999999797146,1.5995585001064683
Dataset 1,Cell03,0.8,51,narrow_36_385,0.0188,0.0156,0.016349192942029564,0.012766870428156196,0.9069756193342495,8,2,1.3264946999697713,1.5256295000654063,1.6282475500247529
Dataset 1,Cell03,0.6,42,narrow_36_385,0.0188,0.0156,0.014855002628326439,0.009699625661223666,0.9232020521861248,4,6,1.0320548000890994,0.8123195000280248,1.6172470500805503
Dataset 1,Cell03,0.6,43,narrow_36_385,0.0188,0.0156,0.015216638688680974,0.010991759848219118,0.9194173386704378,7,3,1.2551840000469383,1.5228950001073827,1.6397440502259997
Dataset 1,Cell03,0.6,44,narrow_36_385,0.0188,0.0156,0.015605790308107959,0.011319434714723731,0.9152429791346527,6,4,1.1705637000886782,1.1896595001417154,1.5773684500345553
Dataset 1,Cell03,0.6,45,narrow_36_385,0.0188,0.0156,0.015709353948559882,0.011314879547216983,0.9141143120133155,5,5,1.0948487001314788,0.8553295003821404,1.58643595018475
Dataset 1,Cell03,0.6,46,narrow_36_385,0.0188,0.0156,0.015471306748917836,0.01088022086904602,0.9166974793425209,4,6,1.0178289000577934,0.8019950000743847,1.6172444502899452
Dataset 1,Cell03,0.6,47,narrow_36_385,0.0188,0.0156,0.019275506145791266,0.01581378451927957,0.8706948773258733,6,4,1.157681600034266,1.4920495000296796,1.5573664499925144
