dataset,test_cell,train_rows,test_rows,fit_time_ms,model_size_kb
Dataset 1,Cell01,47,11,1972.6067060000787,47.1591796875
Dataset 1,Cell03,48,10,979.5224340000459,48.6435546875
Dataset 1,Cell10,46,12,211.96314999997412,45.7060546875
Dataset 1,Cell11,43,15,265.6952430002093,41.5341796875
Dataset 1,Cell12,48,10,312.8231569999116,48.6435546875
