experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,Ridge,False,48,10,19,,0.018774335737187432,0.018032276682314254,0.8773314281672415
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,Ridge,False,46,12,19,,0.010404843561326827,0.00967311854941045,0.9819010689871834
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,Ridge,False,43,15,19,,0.003375074442367417,0.0030816929802502057,0.9982231693765504
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,Ridge,False,48,10,19,,0.014108513284280064,0.01265714277214799,0.9721617361444036
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,ExtraTrees,False,47,11,19,,0.008578455230584366,0.00738754664887319,0.9900477070045529
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,ExtraTrees,False,48,10,19,,0.017424326954021047,0.01716134586656748,0.894338645812577
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,ExtraTrees,False,46,12,19,,0.007222528766091326,0.00606408428891995,0.991279118700334
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,ExtraTrees,False,43,15,19,,0.00510525544798299,0.003966048321168921,0.9959344971212617
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,ExtraTrees,False,48,10,19,,0.013912762648783219,0.011969886061819701,0.9729288692610935
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,RandomForest,False,47,11,19,,0.009563153223762532,0.008220385939332579,0.987631779950145
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,RandomForest,False,48,10,19,,0.01618240569720876,0.01571594466283429,0.90886392540412
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,RandomForest,False,46,12,19,,0.008580997008226711,0.006732694713817923,0.9876900208894074
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,RandomForest,False,43,15,19,,0.00544687026034222,0.0045666538069725725,0.9953722128078569
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,RandomForest,False,48,10,19,,0.014694231326885049,0.01272268255287945,0.9698023331842852
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,HistGB,False,47,11,19,,0.026525708404005782,0.02018447077508106,0.9048433909785951
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,HistGB,False,48,10,19,,0.03291859672876782,0.026508472772863157,0.6228737381998958
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,HistGB,False,46,12,19,,0.04025247052784154,0.035303576152987154,0.7291262649417412
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,HistGB,False,43,15,19,,0.034652759282121824,0.02966677993600202,0.8126925887921975
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,HistGB,False,48,10,19,,0.04179464958141948,0.03587193602384904,0.7557013761095903
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,XGBoost,False,47,11,19,,0.006777493348690601,0.005725046937156566,0.9937878322446201
