exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
True,full_32_42,GRU,0.22786747523219697,0.02947657454330432,0.1981784543654561,0.019800412561966282,-28.737329673681796,7.519236083571638
True,full_32_42,LSTM,0.19065263973831156,0.037316281043602365,0.16752225778835061,0.04279290609783283,-19.627277142536705,5.878180437579877
True,full_32_42,TCN,0.17210305160995623,0.08601070539108341,0.1499229145794949,0.0776933940564901,-17.599779065035303,13.275615310159758
True,full_32_42,TransformerEncoder,0.10439344612352147,0.058052981394980795,0.08266625984804139,0.047583900667928926,-6.96343118213584,9.008115007612375
True,medium_35_40,GRU,0.18316047549271763,0.09191500001133834,0.15992465603225145,0.07761289096866199,-20.04609893819861,15.608813132183704
True,medium_35_40,LSTM,0.14683206411080818,0.07084056912613437,0.13290400943542183,0.06305723489439737,-12.485414447805217,9.573467131632917
True,medium_35_40,TCN,0.1899563716691026,0.09490470178898382,0.17703802031537771,0.09135235574024564,-21.738802523354767,16.303730819899073
True,medium_35_40,TransformerEncoder,0.0843095339797707,0.013027012788521516,0.07193010422302118,0.016624974908457088,-3.101414352804886,1.2647063271163737
True,narrow_36_385,GRU,0.13271314082258964,0.02751993802916097,0.10850463024033336,0.027532283282623006,-9.008694047195174,3.058572564980842
True,narrow_36_385,LSTM,0.13727698191762708,0.09052840467758552,0.12243985388018379,0.0796239780195995,-12.056622540651496,10.889804732374493
True,narrow_36_385,TCN,0.18613804157884375,0.06690894500638558,0.16610126798385474,0.056261357554252774,-19.475041492907582,11.227429561453944
True,narrow_36_385,TransformerEncoder,0.03740771619865436,0.008649605627786622,0.03344673115255702,0.006973002275235511,0.15086175242099353,0.49428773547498717
True,very_narrow_365_38,GRU,0.08117541512938652,0.04907394873410586,0.06871163776881341,0.038563653422386664,-3.45008255569838,4.170699530009984
True,very_narrow_365_38,LSTM,0.11142942632631543,0.05698670215419477,0.09088358529716574,0.047446265757795536,-6.92880324211086,6.404455339392135
True,very_narrow_365_38,TCN,0.18659952303520658,0.056301246029426114,0.1662452333174865,0.05653014578407488,-19.180197941997637,9.595102649890212
True,very_narrow_365_38,TransformerEncoder,0.05690831508938119,0.008275036385604532,0.04799252285669772,0.010509178830130238,-0.9007432874243078,0.7504088984794804
