exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,adaptive_all_windows,MAW-GME,MAW-GME,0.011662826364361913,0.005120272897078955,0.0108505903590204,0.00496673685940765,0.9634303369747894,0.04745028923160007
True,adaptive_all_windows,MAW-GME,MAW-GME,0.013467943118615228,0.005393046630404453,0.0118129808915768,0.005000493533583833,0.9385508356603982,0.05664442136062599
