exclude_outliers,scenario,description,model,RMSE,MAE,R2
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.01571914456447191,0.014487256390282236,0.9447520543785061
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,HistGB,0.03557692759233246,0.029756277490314047,0.7294063158127579
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,LightGBM,0.036900566537785326,0.030460276026065942,0.7129977293038929
True,all_windows_available,All window-specific features are available.,ExtraTrees,0.010837133044869541,0.009912076133491222,0.954108796113951
True,all_windows_available,All window-specific features are available.,RandomForest,0.012279646348823251,0.010884633557500112,0.9470952516688254
True,all_windows_available,All window-specific features are available.,XGBoost,0.013385368924497123,0.011528498304831606,0.9306740217485483
True,all_windows_available,All window-specific features are available.,MAW-GME,0.013467943118615173,0.011812980891576745,0.9385508356603985
True,all_windows_available,All window-specific features are available.,Ridge,0.014628992656614784,0.01315982236437149,0.9334562048500248
True,all_windows_available,All window-specific features are available.,CatBoost,0.017693689138291804,0.014788310136694049,0.9023651302786477
True,all_windows_available,All window-specific features are available.,HistGB,0.05160037229389245,0.043389756678435164,0.1461015626892631
True,all_windows_available,All window-specific features are available.,LightGBM,0.052069205151585106,0.04268439808035519,0.13177208934011492
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",ExtraTrees,0.010255244359392362,0.009435869619996455,0.9591721567961915
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",RandomForest,0.011900228187238208,0.010383664533847375,0.9532628288178021
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",MAW-GME,0.012674708226168941,0.010880779369699469,0.9460118288770598
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",Ridge,0.012748490808026768,0.011948994803261236,0.941341426966736
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",XGBoost,0.01330191129993501,0.011476075599164744,0.9313666796531397
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",CatBoost,0.019913742172562206,0.015497532168166406,0.8818743397145443
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",HistGB,0.05007128303680828,0.04147960076409459,0.1971821208631329
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",LightGBM,0.05106075585853013,0.04292078785045586,0.17503560277328073
True,only_full_window,Only full-window features are available.,ExtraTrees,0.010706548487566433,0.009615759619620898,0.9576310721128618
True,only_full_window,Only full-window features are available.,RandomForest,0.012545427972846693,0.010934203312639963,0.9488821177521112
True,only_full_window,Only full-window features are available.,MAW-GME,0.013040378072306371,0.011569255463624483,0.9415180033960262
