scenario,description,exclude_outliers,test_cell,window,model_name,n_features,oof_rmse,mean_inner_rmse,meta_coef,meta_abs_weight
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,Ridge,19,0.01650864503303033,0.015677195646975457,0.006430759731163817,0.05288309014703066
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,ExtraTrees,19,0.011333751331051727,0.011037604326054537,0.008061546997978895,0.06629380266730761
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,RandomForest,19,0.012713706654064868,0.012469544101338131,0.006165299941673365,0.05070009240416603
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,HistGB,19,0.09282546883323178,0.09158773397734268,-0.0005253530662569443,0.004320219495567596
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,XGBoost,19,0.014579638162569315,0.014204822030362028,0.005527453223545935,0.04545478595440757
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,LightGBM,19,0.09282546843054977,0.09158773366140742,-0.0005253519139736458,0.004320210019812926
all_windows_available,All window-specific features are available.,False,Cell01,full_32_42,CatBoost,19,0.020426175929285258,0.01902999842128348,0.0005224758169555688,0.004296558553386417
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,Ridge,19,0.01701978239792909,0.01685674534105471,0.002177484700528114,0.017906456550347352
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,ExtraTrees,19,0.011600948317281255,0.011206145322147011,0.005984464648360196,0.049213000751262004
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,RandomForest,19,0.012566843494262642,0.012267751085761246,0.00656401660529941,0.05397892261196847
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,HistGB,19,0.09282546883323178,0.09158773397734268,-0.0005253530662569388,0.004320219495567551
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,XGBoost,19,0.015052976790031238,0.014795982330081133,0.005362523096539033,0.044098489787377744
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,LightGBM,19,0.09282546843054977,0.09158773366140742,-0.0005253519139735908,0.004320210019812474
all_windows_available,All window-specific features are available.,False,Cell01,medium_35_40,CatBoost,19,0.020466417391430472,0.020105185545851036,-0.0015179582468832437,0.012482867680523249
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,Ridge,19,0.016517011755596826,0.016151584428443076,0.014007292845451467,0.11518840093996316
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,ExtraTrees,19,0.01133542989568333,0.010372249454257914,0.011363577103319679,0.09344791245043636
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,RandomForest,19,0.011923531074185848,0.01098846595416858,0.011738638359902331,0.09653221338402597
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,HistGB,19,0.09282546883323178,0.09158773397734268,-0.0005253530662571471,0.004320219495569264
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,XGBoost,19,0.01876925671651558,0.01770774614146782,-0.0001530733391738096,0.0012587923562758531
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,LightGBM,19,0.09282546843054977,0.09158773366140742,-0.0005253519139736436,0.004320210019812909
all_windows_available,All window-specific features are available.,False,Cell01,narrow_36_385,CatBoost,19,0.016584238438437083,0.01617216840459305,-0.0008158385693037757,0.006709015172318998
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,Ridge,19,0.026682390435653718,0.026630210079830352,-0.01615373613585341,0.13283958972124146
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,ExtraTrees,19,0.013835133037741991,0.013439709157155052,0.0042711553884954515,0.03512367198967068
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,RandomForest,19,0.01429873155406203,0.013901703568527424,0.003180996840104454,0.026158797667009005
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,HistGB,19,0.09282546883323178,0.09158773397734268,-0.0005253530662571468,0.004320219495569261
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,XGBoost,19,0.02028796355819241,0.019245477382107433,-0.004005523233301288,0.03293925680447751
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,LightGBM,19,0.09282546843054977,0.09158773366140742,-0.0005253519139736436,0.004320210019812909
all_windows_available,All window-specific features are available.,False,Cell01,very_narrow_365_38,CatBoost,19,0.017400700926201364,0.017084890567972622,0.0033966927694176093,0.027932564337055436
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,Ridge,19,0.007475673275891213,0.007287004801740845,0.008223611291775153,0.08401672667521744
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,ExtraTrees,19,0.006796857730025685,0.0068080312461458415,0.007814047326849882,0.07983240637161064
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,RandomForest,19,0.00933094983334416,0.009375519830085175,0.003969025568889485,0.04054964717530508
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,HistGB,19,0.08922126126699337,0.08907831170802243,0.0003665174844697259,0.003744534879120495
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,XGBoost,19,0.015095690770480827,0.01419017698017467,-0.0019193092310711948,0.019608669883680985
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,LightGBM,19,0.08922126119043591,0.08907831163022062,0.00036650911772875334,0.003744449400105922
all_windows_available,All window-specific features are available.,False,Cell03,full_32_42,CatBoost,19,0.015822260741355124,0.015068127080939353,-0.0007512674485573559,0.007675342333915984
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,Ridge,19,0.009508629814626902,0.009598855067352606,0.006881409894376262,0.0703040931438707
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,ExtraTrees,19,0.008199408102664054,0.008218691492292273,0.004862954070433591,0.04968248965979046
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,RandomForest,19,0.009866916273303413,0.00995885580538867,0.0020829673674742023,0.021280687252510054
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,HistGB,19,0.08922126126699337,0.08907831170802243,0.00036651748446967625,0.0037445348791199876
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,XGBoost,19,0.014684568086492359,0.014086114315196019,-0.0034492587019442707,0.0352394362174202
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,LightGBM,19,0.08922126119043591,0.08907831163022062,0.0003665091177288197,0.0037444494001065997
all_windows_available,All window-specific features are available.,False,Cell03,medium_35_40,CatBoost,19,0.015926426192034125,0.015339927643497474,-0.0036588048912679877,0.03738027000559452
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,Ridge,19,0.0064871021004741375,0.006360390958179973,0.012324109454652886,0.12590956683502555
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,ExtraTrees,19,0.006151058446871398,0.006179665101890017,0.011439442949588569,0.116871349764984
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,RandomForest,19,0.008874045613451438,0.00885988921889954,0.007029044984192443,0.07181241066383458
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,HistGB,19,0.08922126126699337,0.08907831170802243,0.00036651748446999875,0.0037445348791232827
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,XGBoost,19,0.015370648577367346,0.014722605493391494,0.002288079039542426,0.02337621568626375
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,LightGBM,19,0.08922126119043591,0.08907831163022062,0.00036650911772885314,0.0037444494001069415
all_windows_available,All window-specific features are available.,False,Cell03,narrow_36_385,CatBoost,19,0.012260055736942808,0.01193763167638601,0.0064667399765259564,0.06606760774683978
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,Ridge,19,0.02175789297695518,0.01982267200693317,-0.0007501775779021769,0.007664207643607957
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,ExtraTrees,19,0.01189398334789122,0.011558985466271657,0.004601096951395953,0.04700721997381335
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,RandomForest,19,0.013571900926716396,0.013333372745122613,0.0022323898621019475,0.022807265837617097
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,HistGB,19,0.08922126126699337,0.08907831170802243,0.00036651748446999614,0.003744534879123256
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,XGBoost,19,0.01800649730248397,0.016880164736229622,0.0023868147519377826,0.024384951516190467
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,LightGBM,19,0.08922126119043591,0.08907831163022062,0.00036650911772885314,0.0037444494001069415
all_windows_available,All window-specific features are available.,False,Cell03,very_narrow_365_38,CatBoost,19,0.015776256149127647,0.015482172120441767,0.001817985988264664,0.01857349848577735
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,Ridge,19,0.022100560864817376,0.018595023237645454,0.01073898212519198,0.0709594480201979
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,ExtraTrees,19,0.012107809410743173,0.011660555688864468,0.008480872044697647,0.056038644259398446
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,RandomForest,19,0.013172135029778098,0.013062310718141897,0.013209312374214325,0.08728252863013884
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,HistGB,19,0.09484247790169215,0.09315613686915916,-0.0004945276578248631,0.0032676662667735145
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,XGBoost,19,0.019534681188968832,0.016926215929164042,0.004702151355590239,0.031070176000888326
