exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,stacked_all_windows,WA-SMHE,WA-SMHE,0.02217128075118264,0.005772311101593816,0.019406213248982885,0.0060976981179241465,0.9131094849403496,0.03613165053137772
True,stacked_all_windows,WA-SMHE,WA-SMHE,0.018811178247359776,0.007083508480400425,0.016391442546804046,0.007635371509772817,0.8977013094658164,0.06834497857064419
