exclude_outliers,scenario,description,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,all_windows_available,All window-specific features are available.,CatBoost,0.012357063087915763,0.005139638130046125,0.010875410077890871,0.005434579221050472,0.9614547661420533,0.04498739759424305
False,all_windows_available,All window-specific features are available.,ExtraTrees,0.010909500008796529,0.0066974001697302265,0.009804525365094921,0.006881858191442273,0.9609486565452929,0.059626437007321856
False,all_windows_available,All window-specific features are available.,HistGB,0.03739957006836135,0.005280237198630362,0.0312381027978857,0.003679936532040717,0.7063518849737859,0.24118676954655335
False,all_windows_available,All window-specific features are available.,LightGBM,0.03622026180370673,0.006776773182189696,0.03043709482490231,0.004745564315491791,0.7122357913825338,0.26467701914418046
False,all_windows_available,All window-specific features are available.,MAW-GME,0.01166282636436195,0.005120272897078902,0.010850590359020432,0.004966736859407598,0.9634303369747897,0.047450289231598844
False,all_windows_available,All window-specific features are available.,RandomForest,0.010803878293624152,0.005817578246943814,0.009910483258476077,0.005937174330007619,0.9657264458053607,0.04747365296651463
False,all_windows_available,All window-specific features are available.,Ridge,0.012619418818711958,0.004048024638134873,0.01133461793359755,0.004333772960449887,0.9609025900669419,0.04598477292038705
False,all_windows_available,All window-specific features are available.,XGBoost,0.013827263876056223,0.007018009105606551,0.01145331262876841,0.006946058664731201,0.9395354686797311,0.09385799292058404
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",CatBoost,0.01176654069815026,0.004999249916386032,0.010146819080427274,0.004720595115920411,0.9660151691767315,0.0373967665868468
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",ExtraTrees,0.009756493211803921,0.0057888473586392925,0.00879009817692433,0.005975938235592369,0.9690730649602347,0.047510875390567454
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",HistGB,0.03823638302139219,0.00477281613980821,0.031852449122061165,0.005106171473008042,0.7392554619999064,0.061032260194473734
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",LightGBM,0.038466498363668805,0.005001211621573065,0.03230071964875676,0.005590785677523898,0.735473696893626,0.06714363897859787
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",MAW-GME,0.011165427216876082,0.004157536991401996,0.010098985373163349,0.003896654625480992,0.9693200798400958,0.035161310288462526
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",RandomForest,0.010201413534986953,0.004421315952715866,0.009175933293649373,0.004458385953462626,0.9745073684230174,0.027471477277272366
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",Ridge,0.011760942196335658,0.005345162669674699,0.011038156601660933,0.005262665849734267,0.9626932810910567,0.04724186149975823
False,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",XGBoost,0.013766975413674781,0.006599210703185257,0.011523194067642259,0.006792215207912425,0.9412504071096448,0.09049994282839613
False,only_full_window,Only full-window features are available.,CatBoost,0.01356270483043398,0.004624005160931984,0.011657150987294432,0.004708382850229879,0.956308001154453,0.04739021314326178
False,only_full_window,Only full-window features are available.,ExtraTrees,0.01044866580949259,0.005077339299254621,0.009309782237469848,0.005279873122945354,0.9689057675799638,0.04258679859831562
False,only_full_window,Only full-window features are available.,HistGB,0.03522883690483129,0.00611882978359937,0.02950704713215648,0.006519949232610268,0.7650474718044039,0.10416814451259802
False,only_full_window,Only full-window features are available.,LightGBM,0.0380454059228016,0.00485836334503197,0.031860492041218345,0.004892827744412725,0.7310377091914417,0.1035203168422469
False,only_full_window,Only full-window features are available.,MAW-GME,0.010780162852301585,0.005209339079923944,0.009987013932103606,0.005199839767748308,0.9662430570554204,0.04795545490744474
False,only_full_window,Only full-window features are available.,RandomForest,0.010893531503285054,0.00444975702261092,0.009591672335167363,0.0045446376960744566,0.9698720544471628,0.03537351595786657
False,only_full_window,Only full-window features are available.,Ridge,0.011996991810317815,0.005679336765798158,0.01100589478693815,0.0054083632809627516,0.9611229819147024,0.0478860180009153
False,only_full_window,Only full-window features are available.,XGBoost,0.013951451278390032,0.006867759256008037,0.011406926291105655,0.006492182066165131,0.9401110264250079,0.0897959154227171
False,only_medium_window,Only medium partial-window features are available.,CatBoost,0.015015802335833928,0.005289739243716736,0.012707993975237045,0.00559672666188608,0.9464617402317538,0.057714691316227036
False,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.010603997016880343,0.005027459821883669,0.009099245888194819,0.0047352192573149295,0.9689673342529488,0.040513838187909976
False,only_medium_window,Only medium partial-window features are available.,HistGB,0.04221661202462204,0.0029215999005559852,0.03534456496327172,0.0012758524458828333,0.6545360906905031,0.18906731400963975
False,only_medium_window,Only medium partial-window features are available.,LightGBM,0.04234351338736812,0.003079046566160324,0.035860080244589615,0.001843909301815641,0.6454123845577122,0.22285635557756672
False,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.012721021510231093,0.005165516645657842,0.011732599386764752,0.004847463334204216,0.9568078713031261,0.056741225974991684
False,only_medium_window,Only medium partial-window features are available.,RandomForest,0.01150623904448182,0.005027517718285899,0.010154285668730178,0.004767584379398852,0.9655669106219985,0.04187860676466785
False,only_medium_window,Only medium partial-window features are available.,Ridge,0.013960807151966315,0.005173587511719366,0.012095605104938786,0.004927770669633655,0.9510961198202104,0.05851344205973555
False,only_medium_window,Only medium partial-window features are available.,XGBoost,0.014778857480709253,0.00495278860979949,0.012166272139023299,0.005341099329689099,0.9431586699546333,0.07347009357493871
