cell,n_rpt,first_cycle,last_cycle,first_capacity_Ah,last_capacity_Ah,first_soh,last_soh,outlier_count
Cell01,11,0.0,380.0,5.10509415908011,3.54364290630496,1.0,0.694138598795892,2
Cell03,10,0.0,104.0,4.93819464654365,4.03213155256178,1.0,0.8165193640926967,0
Cell10,12,0.0,440.0,5.04197207312567,3.63567634836113,1.0,0.7210822066507926,1
Cell11,15,0.0,541.0,5.10012254828231,3.65315711243407,1.0,0.716288104422987,1
Cell12,10,0.0,183.0,5.0305336814529,3.50869720467423,1.0,0.6974801138118732,1
