dataset,method,window,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
Dataset 1 NMC/UofM,Best controlled single-HI,medium_35_40,Single-HI-Polynomial,0.0174705348647434,0.0070271097809895,0.0149425262566013,0.0070780355501682,0.9395671306937208,0.037935843508045
Dataset 1 NMC/UofM,Controlled approx. GPR/EKF,medium_35_40,Approx-Paper-GPR,0.0193600044796811,0.0082165093845644,0.0165836764303075,0.0081118927032578,0.9259676829188608,0.047755977644274
Dataset 1 NMC/UofM,Best fixed-window Multi-HI,narrow_36_385,ElasticNet,0.0104473214700156,0.0048821656221314,0.0094203020874342,0.005250149722327,0.9691933931955294,0.0424532613643901
Dataset 2 Oxford,Best controlled single-HI,full_36_42,SingleHI-Polynomial-EKF,0.008512267422794,0.007813378694818,0.0044533812721254,0.0031283870031021,0.9720352963265508,0.0473813413674043
Dataset 2 Oxford,Controlled approx. GPR/EKF,full_36_42,ApproxPaper-GPR-EKF,0.0127091521309873,0.0069681404214847,0.0061287388847432,0.0030826454321424,0.9533291627407166,0.0515800777760467
Dataset 2 Oxford,Best fixed-window Multi-HI,narrow_375_395,Ridge,0.0043067919127774,0.0018554448895377,0.0035830438477939,0.0018966541302864,0.9946740959987276,0.0044172384603534
Dataset 3 LFP/graphite,Best controlled single-HI,full_27_36,SingleHI-Polynomial-EKF,0.0116810510708796,0.0046605430572152,0.009584959566759,0.0045052143733581,0.9458444741392796,0.0482283841900032
Dataset 3 LFP/graphite,Controlled approx. GPR/EKF,full_27_36,ApproxPaper-GPR-EKF,0.015646168914984,0.0156523819145727,0.012194027577681,0.0134238311792638,0.8442969655575036,0.2777444449792938
Dataset 3 LFP/graphite,Best fixed-window Multi-HI,paper_335_350,ExtraTrees,0.0022905426466529,0.0011348872320235,0.0014814560522184,0.0005740256365828,0.9977742209932854,0.0021866836035494
