dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell01,Fast-MAW-GME-K5-latency-aware,medium_35_40,ExtraTrees,0.01113235424180162,0.012754186917656122,0.20166479909311252,1911.3525390625,19
Dataset 1,Cell01,Fast-MAW-GME-K5-latency-aware,full_32_42,ExtraTrees,0.011387576402795214,0.013046537748137391,0.19714583571430397,1910.2001953125,19
Dataset 1,Cell01,Fast-MAW-GME-K5-latency-aware,full_32_42,RandomForest,0.012264708058547449,0.013949177035106817,0.18438870684863687,1248.8896484375,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,Ridge,0.005823704875343138,0.005963480653258646,0.06916054582438359,2.3203125,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,ElasticNet,0.006465988340246938,0.00662437292089634,0.06226063220122111,2.4033203125,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,ExtraTrees,0.006397821742153649,0.007332620245652306,0.05624697479359776,1952.7275390625,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,Ridge,0.007186871776750764,0.007357578528182842,0.056056174793977065,2.279296875,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,ElasticNet,0.007423564780308584,0.007603605031269685,0.054242392191324165,2.3623046875,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,ExtraTrees,0.00730045062512889,0.00836711966770853,0.049292682792966745,1952.5458984375,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,ExtraTrees,0.008229602374657306,0.009432079471388478,0.043727137009151346,1952.8544921875,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,Ridge,0.009653635835854197,0.009884537822277217,0.041725557507896166,2.306640625,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,RandomForest,0.00888086510884897,0.010104404180056113,0.04081763289276484,1275.376953125,19
