dataset,protocol,measurement_source,model,window,rmse,mae,r2,n_eval,n_rows,n_predictions,measurement_update_count,prediction_only_count,no_measurement_count,mean_availability,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,mean_feature_assembly_time_ms,mean_inference_time_ms,mean_model_size_kb,mean_n_experts,measurement_val_rmse,paper_reported_gpr_ekf_rmse_context,paper_reported_gpr_ekf_mae_context
Dataset 1,Kadem-style_GPR-EKF_Colab,Kadem-style GPR-EKF::narrow_36_385,Kadem-style GPR-EKF,narrow_36_385,0.02038107509254846,0.015971317929680814,0.9432100150569841,58,58,58,58,0,0,1.0,2.509950948275093,2.2920950000298035,3.458848999997599,0.0,2.509950948275093,46.34728582974138,1.0,,0.0188,0.0156
Dataset 1,BMS-1_runtime_fast_pruned,Best-single-selected,Best-single-selected,per_fold_selected,0.011490241872893148,0.009464925114056924,0.9819500535859933,58,58,58,58,0,0,1.0,30.900525879317307,2.338294500077609,82.53342554979781,0.34753084481970853,30.5529950344976,750.4757879849138,1.0,0.009330856207861938,,
Dataset 1,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.011216305196875321,0.009265106582264045,0.9828004449753815,58,58,58,58,0,0,1.0,141.83432268963307,88.51801299999806,246.910938700006,1.0332108448253543,140.80111184480774,2981.067736395474,3.0,0.010260042961884548,,
Dataset 1,BMS-1_runtime_fast_pruned,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.010907600004306026,0.008815552792580754,0.9837341792457496,58,58,58,58,0,0,1.0,243.0106062758298,174.50085599989507,419.1958665000186,1.4705067586137062,241.5400995172161,5009.275121228448,5.0,0.010881008950930098,,
Dataset 1,BMS-1_runtime_fast_pruned,MAW-GME-full-36experts,MAW-GME-full-36experts,adaptive_windows,0.011988498269685016,0.010314108325998519,0.9803506972045319,58,58,58,58,0,0,1.0,695.910797137936,693.1155184999511,749.29561980004,6.680847758626237,689.2299493793099,15009.167682516163,36.0,0.01960342467253158,,
