dataset,availability_prob,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,n_updates_mean,n_prediction_only_mean,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,rmse_vs_paper_percent,mae_vs_paper_percent,model_size_kb_mean,fit_time_ms_mean
Dataset 1,0.4,0.03944072825688839,0.023640135429309417,0.029346146804614674,0.01763795103978388,0.6407004424273292,0.4137134191231265,3.5,8.1,0.9757772449184868,0.8264013700636497,1.5220326689786816,0.0188,0.0156,-109.79110774940631,-88.11632567060688,46.3373046875,748.5221380000439
Dataset 1,0.6,0.03238707222932567,0.016273087009860965,0.024514405810480065,0.012502244949837564,0.7923391612750637,0.20663890852028677,6.2,5.4,1.161369735239532,1.1957997400259046,1.6373961219992452,0.0188,0.0156,-72.27166079428548,-57.14362699025683,46.3373046875,748.5221380000439
Dataset 1,0.8,0.025892343152776397,0.00982260243629343,0.020693534776961172,0.008090095785839663,0.8750767556301402,0.0744979180977069,9.4,2.2,1.4618305802151748,1.6396359900045354,1.7740096080055991,0.0188,0.0156,-37.725229536044665,-32.65086395487931,46.3373046875,748.5221380000439
Dataset 1,1.0,0.023758776572013262,0.009958968689249547,0.01952262252685837,0.008456079921455448,0.893692555206092,0.06574316127359503,11.6,0.0,1.8862213227282953,1.8966258999626007,2.0967112699963764,0.0188,0.0156,-26.376471127730113,-25.14501619781007,46.3373046875,748.5221380000439
Dataset 2,0.4,0.013986679971797996,0.006602461845712249,0.007448575798547762,0.002350304017422831,0.9429920069531814,0.052378081031835,24.6875,40.1875,1.293297440922005,0.9762118312664825,1.9667149518451765,0.0045,0.0034,-210.81511048439995,-119.07575878081651,3217.1123046875,6299.926093249951
Dataset 2,0.6,0.01379735881319161,0.006638845856675488,0.007184634355146838,0.00241814513616942,0.9443415023207404,0.050997269874488126,39.125,25.75,1.4799026967987285,1.7437477124900624,1.9623426524950105,0.0045,0.0034,-206.60797362648023,-111.3127751513776,3217.1123046875,6299.926093249951
Dataset 2,0.8,0.013637453920998747,0.006710774995918472,0.007090864085368971,0.0025364338677224384,0.945404803861981,0.05076029623115803,52.45,12.425,1.663822110330195,1.806335781267876,1.9734563149921769,0.0045,0.0034,-203.0545315777499,-108.55482604026386,3217.1123046875,6299.926093249951
Dataset 2,1.0,0.01339724592099939,0.006913675361526231,0.006939866063961368,0.002700349602487147,0.9476736578012906,0.05071710917372972,64.875,0.0,2.198661428999775,2.224305312523711,2.7004502687674403,0.0045,0.0034,-197.71657602220867,-104.11370776356965,3217.1123046875,6299.926093249951
Dataset 3,0.4,0.013648553053525159,0.01759880955052128,0.0069880355385099025,0.008041912720873482,0.8238960121339616,0.35221962263436757,21.88,35.72,1.1612299023911181,0.8836119400166353,1.7358288240125148,0.0106,0.0084,-28.759934467218482,16.809100732024966,842.1048828125,1193.6110184001336
Dataset 3,0.6,0.019142278205915908,0.0212141477193812,0.009561869986934632,0.009805993292672463,0.7163112787157614,0.419713188035514,34.32,23.28,1.3223409391942313,1.5630124099425302,1.7611740470001678,0.0106,0.0084,-80.5875302444897,-13.831785558745626,842.1048828125,1193.6110184001336
Dataset 3,0.8,0.0212426559840045,0.022223220978821245,0.010495318750361722,0.010229261951657282,0.672174640917584,0.44409183602549357,46.48,11.12,1.5149198568192335,1.6408124900272014,1.8164921049783516,0.0106,0.0084,-100.40241494343867,-24.94427083763956,842.1048828125,1193.6110184001336
Dataset 3,1.0,0.02398436604185995,0.025905053617016425,0.011641817769654578,0.011755437875208533,0.6107160588781918,0.5192649272704369,57.6,0.0,2.1676912857128023,1.9758358000217413,2.89299780989495,0.0106,0.0084,-126.2676041684901,-38.59306868636404,842.1048828125,1193.6110184001336
