exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,full_27_36,ApproxPaper-GPR-EKF,0.01564616891498405,0.015652381914572796,0.01219402757768104,0.013423831179263856,0.8442969655575036,0.2777444449792938
False,medium_32_35,ApproxPaper-GPR-EKF,0.04264430365350116,0.04532047099006315,0.02691134352629007,0.030100896414706736,-0.21788705024109864,1.636022410050677
False,narrow_33_345,ApproxPaper-GPR-EKF,0.020647727772919795,0.03501883734334413,0.009825444656392627,0.014726008441650984,0.5139533891267789,1.0626864768005249
False,paper_335_350,ApproxPaper-GPR-EKF,0.020280570972726585,0.03479757187619125,0.009587940207618838,0.014677023518390201,0.5233742088469273,1.0452876923085235
False,very_narrow_335_340,ApproxPaper-GPR-EKF,0.061381871925821604,0.04905898824921654,0.04209925898079231,0.03493878855930005,-0.9925730315967798,2.3486280668689075
True,full_27_36,ApproxPaper-GPR-EKF,0.01564616891498405,0.015652381914572796,0.01219402757768104,0.013423831179263856,0.8442969655575036,0.2777444449792938
True,medium_32_35,ApproxPaper-GPR-EKF,0.04264430365350116,0.04532047099006315,0.02691134352629007,0.030100896414706736,-0.21788705024109864,1.636022410050677
True,narrow_33_345,ApproxPaper-GPR-EKF,0.020647727772919795,0.03501883734334413,0.009825444656392627,0.014726008441650984,0.5139533891267789,1.0626864768005249
True,paper_335_350,ApproxPaper-GPR-EKF,0.020280570972726585,0.03479757187619125,0.009587940207618838,0.014677023518390201,0.5233742088469273,1.0452876923085235
True,very_narrow_335_340,ApproxPaper-GPR-EKF,0.061381871925821604,0.04905898824921654,0.04209925898079231,0.03493878855930005,-0.9925730315967798,2.3486280668689075
