experiment,window,test_cell,model,exclude_outliers,n_train,n_val,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,medium_32_35,Cell55,TransformerEncoder,True,161,54,53,17,5,0.050140187280288365,0.024211042915944312,0.007845841073860216
MultiHI-DeepSequence,narrow_33_345,Cell51,LSTM,True,162,53,53,17,5,0.08480207239829554,0.050189763173327635,-1.5493821334015894
MultiHI-DeepSequence,narrow_33_345,Cell51,GRU,True,162,53,53,17,5,0.10227448749492304,0.06353197510872409,-2.7081443354877224
MultiHI-DeepSequence,narrow_33_345,Cell51,TCN,True,162,53,53,17,5,0.07115322880364043,0.057654643692976335,-0.794780040548831
MultiHI-DeepSequence,narrow_33_345,Cell51,TransformerEncoder,True,162,53,53,17,5,0.03119494602624766,0.016869371222974845,0.6550227280134718
MultiHI-DeepSequence,narrow_33_345,Cell52,LSTM,True,161,53,54,17,5,0.0187451337087258,0.014827520372026441,0.8692689500229341
MultiHI-DeepSequence,narrow_33_345,Cell52,GRU,True,161,53,54,17,5,0.11027999794811391,0.09604674379566878,-3.5247559812893794
MultiHI-DeepSequence,narrow_33_345,Cell52,TCN,True,161,53,54,17,5,0.03443093460258322,0.029092759243107034,0.5589383609484497
MultiHI-DeepSequence,narrow_33_345,Cell52,TransformerEncoder,True,161,53,54,17,5,0.010498834902632898,0.009335506284002341,0.9589905564159797
MultiHI-DeepSequence,narrow_33_345,Cell53,LSTM,True,161,53,54,17,5,0.03378051551322011,0.029200162280604295,0.5811421566209565
MultiHI-DeepSequence,narrow_33_345,Cell53,GRU,True,161,53,54,17,5,0.10523941359439036,0.09583476982488191,-3.065284512214623
MultiHI-DeepSequence,narrow_33_345,Cell53,TCN,True,161,53,54,17,5,0.058015633109924344,0.04779643958390904,-0.2354471685129471
MultiHI-DeepSequence,narrow_33_345,Cell53,TransformerEncoder,True,161,53,54,17,5,0.020166704367545252,0.018647935359100018,0.8507191943862884
MultiHI-DeepSequence,narrow_33_345,Cell54,LSTM,True,161,53,54,17,5,0.04051759397388601,0.038357505365444196,0.3798736023539613
MultiHI-DeepSequence,narrow_33_345,Cell54,GRU,True,161,53,54,17,5,0.12465741184111338,0.10765004204278804,-4.86987880147088
MultiHI-DeepSequence,narrow_33_345,Cell54,TCN,True,161,53,54,17,5,0.04618139555248334,0.03311299282356574,0.19438595675286918
MultiHI-DeepSequence,narrow_33_345,Cell54,TransformerEncoder,True,161,53,54,17,5,0.01006831207317448,0.007971198430691984,0.9617081579067295
MultiHI-DeepSequence,narrow_33_345,Cell55,LSTM,True,161,54,53,17,5,0.026329299137352217,0.020644068781664325,0.7264190513742934
MultiHI-DeepSequence,narrow_33_345,Cell55,GRU,True,161,54,53,17,5,0.08928944312255355,0.0772691703820804,-2.1463532639075305
MultiHI-DeepSequence,narrow_33_345,Cell55,TCN,True,161,54,53,17,5,0.05617585836617853,0.05011243471096991,-0.24539376743369723
MultiHI-DeepSequence,narrow_33_345,Cell55,TransformerEncoder,True,161,54,53,17,5,0.021111554402272102,0.015624178618620015,0.824107356849176
MultiHI-DeepSequence,paper_335_350,Cell51,LSTM,True,162,53,53,17,5,0.11721325018215827,0.08273779125431652,-3.8705210380091613
MultiHI-DeepSequence,paper_335_350,Cell51,GRU,True,162,53,53,17,5,0.1944060438700188,0.1592838424740984,-12.398048066750293
