scenario,scenario_description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All voltage-window features are available.,False,Cell52,narrow_33_345,XGBoost,13,0.007066472636204762,0.02591079275934229
all_windows_available,All voltage-window features are available.,False,Cell52,narrow_33_345,LightGBM,13,0.009137815598591253,0.020037389108457045
all_windows_available,All voltage-window features are available.,False,Cell52,narrow_33_345,CatBoost,13,0.010257642344217065,0.017849909606988897
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,Ridge,13,0.009796034456308098,0.018691030644137956
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,ExtraTrees,13,0.004306508553861206,0.042516516493358046
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,RandomForest,13,0.0038811723390987166,0.04717587351660247
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,HistGB,13,0.006459768589539214,0.028344340999658484
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,XGBoost,13,0.004490270120280921,0.040776557858207156
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,LightGBM,13,0.006551350800049367,0.02794811226437302
all_windows_available,All voltage-window features are available.,False,Cell52,paper_335_350,CatBoost,13,0.007761644456343651,0.023590095147117122
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,Ridge,13,0.0071518564994496,0.02560145203189733
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,ExtraTrees,13,0.003822264406156516,0.04790293622804191
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,RandomForest,13,0.0035679610377196062,0.05131716742891942
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,HistGB,13,0.006379425906598354,0.02870130992848615
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,XGBoost,13,0.005449792371985601,0.0335972122705583
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,LightGBM,13,0.006378922456254986,0.028703575148323123
all_windows_available,All voltage-window features are available.,False,Cell52,very_narrow_335_340,CatBoost,13,0.006031297498588192,0.030357955910397864
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,Ridge,13,0.02070074653847356,0.008794463221732265
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,ExtraTrees,13,0.005999598751488849,0.030343985679809844
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,RandomForest,13,0.006037718677710758,0.030152405276459956
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,HistGB,13,0.007790677565330259,0.023367904374679158
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,XGBoost,13,0.005371394161744579,0.03389282142204521
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,LightGBM,13,0.007608651303766194,0.02392694782583185
all_windows_available,All voltage-window features are available.,False,Cell53,full_27_36,CatBoost,13,0.01043613390259089,0.017444378281756254
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,Ridge,13,0.011614255499522474,0.01567486485022446
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,ExtraTrees,13,0.0047362812740826855,0.038437678661327454
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,RandomForest,13,0.00410553910742764,0.04434292156200889
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,HistGB,13,0.007864295462345468,0.023149157024903236
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,XGBoost,13,0.004355868174082907,0.041794566965355724
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,LightGBM,13,0.007514469729753989,0.024226832540221586
all_windows_available,All voltage-window features are available.,False,Cell53,medium_32_35,CatBoost,13,0.008877969628949644,0.020506021600454845
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,Ridge,13,0.010328620756997588,0.01762596091609725
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,ExtraTrees,13,0.005305104670067832,0.034316325538974964
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,RandomForest,13,0.005360268535342689,0.033963168301663765
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,HistGB,13,0.008738290985077146,0.020833803087183567
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,XGBoost,13,0.005954238153968016,0.030575151947322986
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,LightGBM,13,0.00847703509518457,0.0214758845795282
all_windows_available,All voltage-window features are available.,False,Cell53,narrow_33_345,CatBoost,13,0.009064008355338622,0.020085136073495758
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,Ridge,13,0.010210321269046644,0.01783017977012591
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,ExtraTrees,13,0.004622854999717427,0.039380782707426544
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,RandomForest,13,0.0042757509171189815,0.04257769448959429
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,HistGB,13,0.006895434406016015,0.026401785196151526
