exclude_outliers,scenario,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,all_windows_available,CatBoost,0.00679031645828834,0.0023917724408408325,0.005097774192520421,0.0021494999905665607,0.98196780187192,0.013976841913260025
False,all_windows_available,ExtraTrees,0.0027539044233873882,0.0014302450919288574,0.001985904910992366,0.0011306293538588955,0.9967034381169905,0.003658498900751918
False,all_windows_available,HistGB,0.004258780977059809,0.0014123888561161965,0.00251043997756025,0.0008197090124028426,0.99301439949753,0.0051350901306793095
False,all_windows_available,LightGBM,0.004811670783870065,0.0017648651972322783,0.0031050220241155843,0.0013122247041898098,0.990856606603489,0.007808249603546388
False,all_windows_available,RandomForest,0.002717982637965784,0.0013445224848803424,0.0017028089701509584,0.0007860329207785438,0.9968583214613066,0.0032523779806097443
False,all_windows_available,Ridge,0.008672681094251792,0.004630497758341937,0.007943809405084476,0.0047232279492192145,0.9671781196532964,0.03482345818189726
False,all_windows_available,XGBoost,0.0031743844223737576,0.0016136749196264141,0.002027898170307231,0.0009229802194778352,0.99574127331266,0.0037272777303197753
False,ica_shape_features_missing,CatBoost,0.005979936188455839,0.0022413524184217532,0.004565433249811826,0.001945990575660372,0.9858265603373357,0.011317824040131761
False,ica_shape_features_missing,ExtraTrees,0.0026707540255638948,0.0013063733224015566,0.0018958449160401138,0.0009696834951792601,0.996971140422571,0.0031082585300311457
False,ica_shape_features_missing,HistGB,0.004471718716800385,0.0012787277959281592,0.002631088253329702,0.0007486997112360211,0.9924709508698216,0.004685173992598739
False,ica_shape_features_missing,LightGBM,0.004797823594036298,0.0015010540429561668,0.0030644496417574136,0.0010573328954438512,0.9911643420828256,0.006291365195860985
False,ica_shape_features_missing,RandomForest,0.0026538830400294876,0.0012876466820563098,0.00167127389818041,0.0007508976384909377,0.9970243471698957,0.0030185915766783524
False,ica_shape_features_missing,Ridge,0.007823005215118698,0.005110862399432551,0.007362829212849078,0.005158729244225035,0.9707445827859097,0.03484841753719766
False,ica_shape_features_missing,XGBoost,0.0031215731471102774,0.001551459222639656,0.0020111064452699176,0.0009055613261211435,0.9959046078996752,0.003520354808990644
False,only_full_window,CatBoost,0.006940426840820334,0.002167871495928123,0.005338495593746278,0.0018115618736946287,0.9816499521409646,0.0115574689199572
False,only_full_window,ExtraTrees,0.0036753298050966193,0.0013699476273657909,0.002244061227519671,0.0008029194004004403,0.9947586621582474,0.00364421864648234
False,only_full_window,HistGB,0.0056660236440096755,0.0007062644486240158,0.003365347377110019,0.00032675373313607387,0.9886120544229999,0.0028666149708609203
False,only_full_window,LightGBM,0.006073295294450465,0.0007327173531374655,0.003772425660584723,0.0005891716101554551,0.9869202424359329,0.0032231511359254146
False,only_full_window,RandomForest,0.003265108724329114,0.0012574427238220207,0.001967283732895166,0.0007201600313848069,0.9958505895013605,0.003083948268923427
False,only_full_window,Ridge,0.01397525888846926,0.0045301596943865974,0.012526134544368971,0.004865655963701736,0.9248177469145764,0.05091170214518644
False,only_full_window,XGBoost,0.004240037856840867,0.0011459833792469424,0.0028843116496335757,0.0008061982593897561,0.9933628049170601,0.003205619861879322
False,only_medium_window,CatBoost,0.0056807796888974854,0.002310894076189609,0.004384331740665335,0.002049269617511967,0.9871443484231157,0.010103645651820396
