experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,ExtraTrees,False,13,0.004846406207661684,0.002966882108267406,0.9913567859274193
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell51,RandomForest,False,13,0.005086713866145598,0.0028792977053585154,0.9913633837299545
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell52,RandomForest,False,13,0.002304635707370942,0.0012344834019376162,0.9981463365566421
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell53,RandomForest,False,13,0.0023304459290166856,0.001608777272743278,0.9981239048311872
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell54,RandomForest,False,13,0.0025248292780008148,0.0015272338930257486,0.9977417798093184
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,RandomForest,False,13,0.00407891884111153,0.002586626391410671,0.9938775425797008
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell51,HistGB,False,13,0.00604892555779419,0.0035186693637721425,0.987786912003372
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell52,HistGB,False,13,0.005346305479811312,0.0031228598642613183,0.9900245188474216
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell53,HistGB,False,13,0.005867821100844467,0.0032904065134292766,0.9881059288429908
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell54,HistGB,False,13,0.004619592514287936,0.003043864578391924,0.9924402124881014
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,HistGB,False,13,0.006447473567310471,0.0038509365656954307,0.9847026999331144
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell51,XGBoost,False,13,0.005442498633172819,0.003554195268419742,0.9901129742804541
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell52,XGBoost,False,13,0.004995549513762534,0.003561888979036442,0.9912905075295333
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell53,XGBoost,False,13,0.003148537409853626,0.0020033475101224733,0.9965755209084861
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell54,XGBoost,False,13,0.0028931165342823742,0.0020158231401471017,0.9970349357712166
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,XGBoost,False,13,0.0047204871931329825,0.0032863033504421197,0.9918000860956102
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell51,LightGBM,False,13,0.006368662517814255,0.0040472834034078675,0.9864616580844897
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell52,LightGBM,False,13,0.005968328948290998,0.0039630579328028635,0.987568262955298
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell53,LightGBM,False,13,0.006177567066899336,0.003726203327533658,0.9868170762123951
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell54,LightGBM,False,13,0.004927222127373884,0.0027925398789239663,0.9913998399485242
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,LightGBM,False,13,0.006924695811873854,0.0043330437602552615,0.9823543749789573
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell51,CatBoost,False,13,0.007583540327993432,0.005889593591150477,0.9808038998157672
