exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
True,full_27_36,GRU,0.07041261387795429,0.013129593962667233,0.05131074058132725,0.00827078867369394,-0.8858390891861518,0.6754865534814498
True,full_27_36,LSTM,0.03915324666713034,0.014999703409879543,0.028463137294399116,0.010562251112047675,0.36917066108848584,0.42792871307515135
True,full_27_36,TCN,0.07312243771822804,0.029798924996493135,0.06190036246411482,0.02914050919827579,-1.2721323501215132,1.5330976178557734
True,full_27_36,TransformerEncoder,0.042437686309998154,0.046984041521432394,0.030062029525531282,0.03502673686154013,-0.275217844209156,2.3591944139038015
True,medium_32_35,GRU,0.09506268342324095,0.040820490431765284,0.07839764766364772,0.03204787346983982,-2.9442590520281406,3.2045705345956286
True,medium_32_35,LSTM,0.03454527986867733,0.00648638421615412,0.027393587183061934,0.007034046370253781,0.5391954324318112,0.17169280540329396
True,medium_32_35,TCN,0.0638712533915077,0.016857528414520716,0.05196089421741494,0.01420638459988699,-0.5886540201562392,0.7518164585023848
True,medium_32_35,TransformerEncoder,0.024774148238629057,0.01448115086431917,0.017667858725264822,0.004437944978467832,0.6989145142656319,0.3886947736942556
True,narrow_33_345,GRU,0.10634815080021884,0.012840482860922403,0.08806654023082865,0.01750764593372476,-3.2628833788740272,1.030100937303277
True,narrow_33_345,LSTM,0.04083492294629594,0.02589086471851558,0.03064380399461338,0.014087044956377059,0.20146432539411122,0.9953628646017082
True,narrow_33_345,TCN,0.053191410086961974,0.013746842683785586,0.04355385401090561,0.012020624224827683,-0.10445933175883129,0.5106290274445404
True,narrow_33_345,TransformerEncoder,0.01860807035437448,0.00874376038465988,0.01368963798307784,0.004745968752102232,0.8501095987143291,0.12554349512479585
True,paper_335_350,GRU,0.12029824115109448,0.04771336174626567,0.10056397510143053,0.03821684234647058,-4.951087904658761,4.4597017513135135
True,paper_335_350,LSTM,0.062375514130324675,0.03306909036976026,0.04850398757496136,0.021325927007916915,-0.7338267665173579,1.8133134796492798
True,paper_335_350,TCN,0.06079371304690566,0.009884708899049879,0.04950024876550272,0.010259147778185368,-0.41306758562790497,0.43867246612409305
True,paper_335_350,TransformerEncoder,0.01864832240851471,0.0027538960237849844,0.013869960105289814,0.002453896495832337,0.8672749363064414,0.04220271460396388
True,very_narrow_335_340,GRU,0.06408605553178223,0.012731763413059793,0.051840482586140345,0.01360317639531305,-0.5820600482043616,0.5767149639669574
True,very_narrow_335_340,LSTM,0.0391730490385135,0.021661308009560884,0.027715542813529098,0.008090390251338477,0.2846523296904496,0.8352081697257274
True,very_narrow_335_340,TCN,0.06096550963138377,0.028814735905513887,0.0487479092321337,0.023712165199078802,-0.6732695000945728,1.4973400233706065
True,very_narrow_335_340,TransformerEncoder,0.03849742386359491,0.042378428183082226,0.021132525726827195,0.013753508357647907,-0.10286173230635103,2.1207803163327332
