dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 3,Cell51,1.0,42,paper_335_350,0.0106,0.0084,0.005014713550846216,0.003005046463110081,0.9916061487740161,57,0,2.067171719278249,2.0074999997632403,2.6112491999811014
Dataset 3,Cell51,0.8,42,paper_335_350,0.0106,0.0084,0.004810114955032726,0.0028868025767594453,0.9922771087798898,46,11,1.463176070174405,1.6058090000115044,1.7081957998925645
Dataset 3,Cell51,0.8,43,paper_335_350,0.0106,0.0084,0.005170025089170113,0.003089608469317865,0.9910781625192299,47,10,1.4768260525909824,1.607010000043374,1.7190638001011393
Dataset 3,Cell51,0.8,44,paper_335_350,0.0106,0.0084,0.004967533506547163,0.0029860365714513364,0.9917633499046402,43,14,1.4544582455815351,1.6002099996512698,1.7795379998460703
Dataset 3,Cell51,0.8,45,paper_335_350,0.0106,0.0084,0.004956627234959485,0.002975574581135683,0.9917994775040572,47,10,1.5770428420805012,1.705340000171418,1.8399589999717136
Dataset 3,Cell51,0.8,46,paper_335_350,0.0106,0.0084,0.00466782977989872,0.0028580709960555313,0.9927272438305152,50,7,1.5994394561139895,1.6911699999582197,1.7982651997954235
Dataset 3,Cell51,0.8,47,paper_335_350,0.0106,0.0084,0.004902058197309165,0.002936253436099316,0.9919790477225152,43,14,1.5566183333248773,1.7011400000228605,1.928341799793997
Dataset 3,Cell51,0.8,48,paper_335_350,0.0106,0.0084,0.004721841639279427,0.002857655030144726,0.9925579627081503,46,11,1.6746822280733715,1.7843290002019785,2.084880000165867
Dataset 3,Cell51,0.8,49,paper_335_350,0.0106,0.0084,0.00536699077850943,0.00318519539911181,0.9903854114241014,45,12,1.6334337894812434,1.786548999916704,1.999523999802477
Dataset 3,Cell51,0.8,50,paper_335_350,0.0106,0.0084,0.005188745619714224,0.0030886897588086985,0.9910134340436191,47,10,1.5085764210022732,1.6404899997723987,1.7173700000057577
Dataset 3,Cell51,0.8,51,paper_335_350,0.0106,0.0084,0.005308474848297825,0.0031739024416103157,0.99059392289236,46,11,1.5137280877257708,1.6537800001970027,1.7724497999552113
Dataset 3,Cell51,0.6,42,paper_335_350,0.0106,0.0084,0.004801465474179655,0.0029269718465475296,0.9923048581962148,29,28,1.2702668070089298,1.5917099999569473,1.7526792000353444
Dataset 3,Cell51,0.6,43,paper_335_350,0.0106,0.0084,0.0051692138775172695,0.0031272619816161617,0.9910809620919971,43,14,1.4217514561000586,1.5922200000204612,1.7101110000112383
Dataset 3,Cell51,0.6,44,paper_335_350,0.0106,0.0084,0.004922479980660933,0.002955827621324707,0.9919120785680239,30,27,1.254742473695826,1.5745400000923837,1.7275132000577285
Dataset 3,Cell51,0.6,45,paper_335_350,0.0106,0.0084,0.005224105624969426,0.00309283518092062,0.9908905342958082,31,26,1.2696937017432917,1.587780000136263,1.700443199933943
Dataset 3,Cell51,0.6,46,paper_335_350,0.0106,0.0084,0.004604041123273281,0.0028216784052975635,0.9929246586898923,35,22,1.3131879824884476,1.593129999946541,1.7272852000132841
Dataset 3,Cell51,0.6,47,paper_335_350,0.0106,0.0084,0.005033505096227734,0.002977638490013647,0.9915431226527979,28,29,1.2198494210248387,0.956679999944754,1.7079180000109773
Dataset 3,Cell51,0.6,48,paper_335_350,0.0106,0.0084,0.004744419774079466,0.002874766601198601,0.9924866223045982,35,22,1.3346047368478346,1.5818799997759925,1.7931799998223141
Dataset 3,Cell51,0.6,49,paper_335_350,0.0106,0.0084,0.005302858027827653,0.003145007255419328,0.9906138172301626,33,24,1.314845754414388,1.5774299999975483,1.7380600000251434
Dataset 3,Cell51,0.6,50,paper_335_350,0.0106,0.0084,0.005075564114980571,0.002997663117607725,0.9914012040545814,38,19,1.356441578887793,1.5903199996500916,1.7137917999207275
Dataset 3,Cell51,0.6,51,paper_335_350,0.0106,0.0084,0.005096696476969789,0.0030615573353493237,0.9913294519696038,37,20,1.4294213859644962,1.657729999806179,1.925409999967087
Dataset 3,Cell51,0.4,42,paper_335_350,0.0106,0.0084,0.004768004519045461,0.002801275634153514,0.9924117378959921,20,37,1.118032631598397,0.8815000001050066,1.6833012000461165
Dataset 3,Cell51,0.4,43,paper_335_350,0.0106,0.0084,0.005429776170592972,0.003240778730873991,0.9901591443586107,25,32,1.1970595087404945,0.8805600000414415,1.742556000044715
Dataset 3,Cell51,0.4,44,paper_335_350,0.0106,0.0084,0.00497787931148358,0.002969926548017947,0.9917290054909191,22,35,1.1621988771382843,0.8833289998619875,1.7085831998883803
Dataset 3,Cell51,0.4,45,paper_335_350,0.0106,0.0084,0.005132237568650295,0.0029730623176236187,0.9912081046609964,20,37,1.1005398947545793,0.8596399998168636,1.660115200047585
Dataset 3,Cell51,0.4,46,paper_335_350,0.0106,0.0084,0.005108269888206634,0.0030710874188447936,0.9912900296686189,21,36,1.1746461403306871,0.8846999999150285,1.774799800114124
Dataset 3,Cell51,0.4,47,paper_335_350,0.0106,0.0084,0.004988352067447063,0.0029098977968724147,0.9916941668699374,15,42,1.0491861754066154,0.8471099999951548,1.6976278000583989
Dataset 3,Cell51,0.4,48,paper_335_350,0.0106,0.0084,0.004682694296825526,0.0028450147210064705,0.9926808504777513,25,32,1.19825533334861,0.8735910000723379,1.7629618000682967
Dataset 3,Cell51,0.4,49,paper_335_350,0.0106,0.0084,0.005000812614776514,0.003001685668705069,0.9916526202881122,22,35,1.1649658421000615,0.9028600002238818,1.7791119999856164
Dataset 3,Cell51,0.4,50,paper_335_350,0.0106,0.0084,0.005280824587822638,0.003036847878187188,0.9906916545944783,22,35,1.1370705438470428,0.8517300002495176,1.6792939999504597
Dataset 3,Cell51,0.4,51,paper_335_350,0.0106,0.0084,0.004913332992926027,0.002977708996671982,0.9919421087086178,25,32,1.1738082631509634,0.8458309998786717,1.6973680000774038
Dataset 3,Cell52,1.0,42,paper_335_350,0.0106,0.0084,0.0029117550707269263,0.0018953167151264077,0.997041061128441,58,0,1.9885968620514929,1.991875000157961,2.096145999712462
Dataset 3,Cell52,0.8,42,paper_335_350,0.0106,0.0084,0.0023878739886315906,0.001580417839513848,0.9980100181205271,47,11,1.5652508448134728,1.7002994998165377,1.910754849859586
Dataset 3,Cell52,0.8,43,paper_335_350,0.0106,0.0084,0.0027193731939584866,0.0017772858668893515,0.9974191430305205,48,10,1.464587034504426,1.6031400002702867,1.647105499864665
Dataset 3,Cell52,0.8,44,paper_335_350,0.0106,0.0084,0.0018092686164431636,0.0010380154793882736,0.9988575625997392,44,14,1.439467879310604,1.605879999942772,1.701200500019695
Dataset 3,Cell52,0.8,45,paper_335_350,0.0106,0.0084,0.001976078258268959,0.0013093594754947455,0.9986371922581316,48,10,1.4678361551589127,1.5943789999255387,1.7288349996533725
Dataset 3,Cell52,0.8,46,paper_335_350,0.0106,0.0084,0.002611437957500551,0.0017474782572922446,0.9976199518842708,51,7,1.521334999998889,1.6040200000588811,1.7815913498452574
Dataset 3,Cell52,0.8,47,paper_335_350,0.0106,0.0084,0.0023024620549803357,0.0015206028834283585,0.9981498315297104,44,14,1.410529982790806,1.5830295001251216,1.7195670000091923
Dataset 3,Cell52,0.8,48,paper_335_350,0.0106,0.0084,0.0014921570804243807,0.0008768873943387575,0.9992229384852322,47,11,1.5447383620837705,1.6100899999855756,1.8654985000694069
Dataset 3,Cell52,0.8,49,paper_335_350,0.0106,0.0084,0.006853716372999838,0.0036833878948734394,0.9836062401658687,45,13,1.4486242586340738,1.6131449999647884,1.7468096501943364
Dataset 3,Cell52,0.8,50,paper_335_350,0.0106,0.0084,0.0028076008779830707,0.0018488524381985794,0.9972489590730007,47,11,1.528684758631212,1.6378000000258908,1.79767665010786
Dataset 3,Cell52,0.8,51,paper_335_350,0.0106,0.0084,0.004360107131137052,0.0027288668180215493,0.9933653100407116,47,11,1.5215619827562603,1.6237950001141144,1.912754649879389
Dataset 3,Cell52,0.6,42,paper_335_350,0.0106,0.0084,0.004003932589113278,0.0025152442818429693,0.9944050034080657,30,28,1.22476705173383,1.5622894998159609,1.6893098498940162
Dataset 3,Cell52,0.6,43,paper_335_350,0.0106,0.0084,0.0026349668656585118,0.0017543238396325687,0.9975768704765886,44,14,1.521808775884171,1.700679999885324,1.845603650144767
Dataset 3,Cell52,0.6,44,paper_335_350,0.0106,0.0084,0.0021770875064898395,0.0014058859645384102,0.9983458378340765,31,27,1.2447914138318021,1.5638200000012148,1.6911095000523346
Dataset 3,Cell52,0.6,45,paper_335_350,0.0106,0.0084,0.004567860390813322,0.002465480494444172,0.992717978511201,31,27,1.2724479137949825,1.5609949998633965,1.74445149980329
Dataset 3,Cell52,0.6,46,paper_335_350,0.0106,0.0084,0.0021725161573579828,0.001471098649039688,0.9983527772095924,36,22,1.347983965498033,1.5941699998620606,1.7841240001416736
Dataset 3,Cell52,0.6,47,paper_335_350,0.0106,0.0084,0.006697752028350602,0.0036216479020241775,0.984343869184572,29,29,1.2247831896666899,1.3111944999764091,1.709298650234814
Dataset 3,Cell52,0.6,48,paper_335_350,0.0106,0.0084,0.001708439304978127,0.0010790295357447105,0.9989813489876962,36,22,1.3100508102713226,1.5775544998177793,1.6760880000902034
Dataset 3,Cell52,0.6,49,paper_335_350,0.0106,0.0084,0.006241117764814175,0.0034102556841062235,0.9864058810044832,33,25,1.2724202931151702,1.5766049998546805,1.6981385003191463
Dataset 3,Cell52,0.6,50,paper_335_350,0.0106,0.0084,0.0021596272257326053,0.0014266119411478198,0.9983722642575676,38,20,1.3455801896302075,1.5918449998935102,1.7284724998944512
Dataset 3,Cell52,0.6,51,paper_335_350,0.0106,0.0084,0.003275777623038867,0.0020437757956738856,0.9962549714220966,38,20,1.330411655191773,1.5715799997906288,1.6912285001126293
Dataset 3,Cell52,0.4,42,paper_335_350,0.0106,0.0084,0.0037322367522783536,0.0022479018356845334,0.995138562769557,20,38,1.0922765690307203,0.8325350001996412,1.6947015000596366
Dataset 3,Cell52,0.4,43,paper_335_350,0.0106,0.0084,0.0041449972902835456,0.0025744771954290275,0.9940038178911789,25,33,1.1831971379361392,0.8376099999622966,1.7208880001362556
Dataset 3,Cell52,0.4,44,paper_335_350,0.0106,0.0084,0.0017857326867624448,0.0010601825866461737,0.9988870921424952,23,35,1.278096827569431,0.9786499999790976,1.883354999858966
Dataset 3,Cell52,0.4,45,paper_335_350,0.0106,0.0084,0.005226935255669667,0.0027619182736569508,0.9904650031560346,20,38,1.2313547241507783,0.9568749997015402,1.9408394998890799
Dataset 3,Cell52,0.4,46,paper_335_350,0.0106,0.0084,0.006024190867024243,0.0035919359194301797,0.9873344585952748,21,37,1.1434942931169518,0.869555000008404,1.7228771497457274
Dataset 3,Cell52,0.4,47,paper_335_350,0.0106,0.0084,0.007104353160956279,0.003703983584735611,0.9823852940826846,16,42,1.061404344768405,0.8520999999745982,1.693482350060549
Dataset 3,Cell52,0.4,48,paper_335_350,0.0106,0.0084,0.0013789049275631086,0.0008323604835740959,0.999336417446304,26,32,1.2006131551766759,0.9088504998544522,1.6897179998977663
Dataset 3,Cell52,0.4,49,paper_335_350,0.0106,0.0084,0.003998635493311695,0.0023140403861112236,0.994419797677282,22,36,1.162428413792817,0.8882099998572812,1.7376561502487675
Dataset 3,Cell52,0.4,50,paper_335_350,0.0106,0.0084,0.0009502123099544182,0.0006315583515861428,0.9996848860591582,22,36,1.1737994999873929,0.8949494999797025,1.7395524999983536
Dataset 3,Cell52,0.4,51,paper_335_350,0.0106,0.0084,0.0036977651617039775,0.002273688333030067,0.995227950222176,25,33,1.194262603427166,0.8785150000676367,1.7417496501593632
Dataset 3,Cell53,1.0,42,paper_335_350,0.0106,0.0084,0.05173703900832128,0.024670974920723975,0.07534453081438997,58,0,2.7879103103620357,1.8706900000324822,5.425149349912317
Dataset 3,Cell53,0.8,42,paper_335_350,0.0106,0.0084,0.05156534867823473,0.02434743361301546,0.08147132086784925,47,11,1.5575282586096677,1.6237894999449054,2.1207066499300704
Dataset 3,Cell53,0.8,43,paper_335_350,0.0106,0.0084,0.05130971798842335,0.02450999124755935,0.09055579776774347,48,10,1.4821043103532654,1.6089800003555865,1.7313209997382728
Dataset 3,Cell53,0.8,44,paper_335_350,0.0106,0.0084,0.05117326097315453,0.024025288515458605,0.09538665732595575,44,14,1.427593189646359,1.5865195000515087,1.7318531497039658
Dataset 3,Cell53,0.8,45,paper_335_350,0.0106,0.0084,0.05149099640761377,0.02434729445813867,0.08411827109646941,48,10,1.4596757413732246,1.5878645001521363,1.6690701502739103
Dataset 3,Cell53,0.8,46,paper_335_350,0.0106,0.0084,0.05174293713997603,0.024711184097704432,0.07513369344657772,51,7,1.5561996379362646,1.6162795000127517,1.8207411500725357
Dataset 3,Cell53,0.8,47,paper_335_350,0.0106,0.0084,0.0045865253301356585,0.002925415410880311,0.9927331801139164,44,14,1.4434044309351082,1.6141194996635022,1.7573669999819685
Dataset 3,Cell53,0.8,48,paper_335_350,0.0106,0.0084,0.05103443272982012,0.024372053403896837,0.10028826130952351,47,11,1.489233051721573,1.6227094999976543,1.7515694997655373
Dataset 3,Cell53,0.8,49,paper_335_350,0.0106,0.0084,0.05054982382921621,0.02407787937399702,0.11729396455586227,45,13,1.6505084999748918,1.7697999999199965,2.048096999988047
Dataset 3,Cell53,0.8,50,paper_335_350,0.0106,0.0084,0.0507114041042661,0.02372129615969364,0.11164188409212539,47,11,1.580951068929388,1.6361445000256936,1.9908456498569649
Dataset 3,Cell53,0.8,51,paper_335_350,0.0106,0.0084,0.051296047586323626,0.024531928509029972,0.09104033801600397,47,11,1.5766461551485353,1.6748250000091502,2.0400131501446594
Dataset 3,Cell53,0.6,42,paper_335_350,0.0106,0.0084,0.05079005341166819,0.02391020837728776,0.10888420336206495,30,28,1.3376080862207314,1.5953545000684244,1.9508699999050803
Dataset 3,Cell53,0.6,43,paper_335_350,0.0106,0.0084,0.05122321248099015,0.024514793105360286,0.09361976369433611,44,14,1.5909735862758931,1.7167140001674852,2.1987981501297322
Dataset 3,Cell53,0.6,44,paper_335_350,0.0106,0.0084,0.05081632102880369,0.02371639593719813,0.1079622298675239,31,27,1.2618905000259661,1.5691495002556621,1.7297250001547582
Dataset 3,Cell53,0.6,45,paper_335_350,0.0106,0.0084,0.050203754446555095,0.023461420541287466,0.12933878861741177,31,27,1.31827568966871,1.6087500000594446,1.8080016499880003
Dataset 3,Cell53,0.6,46,paper_335_350,0.0106,0.0084,0.051212893068599746,0.024470533013764697,0.09398492506670497,36,22,1.3149041034357025,1.5722550001555646,1.7381684999236313
Dataset 3,Cell53,0.6,47,paper_335_350,0.0106,0.0084,0.0034271249496214645,0.002385043053272523,0.9959427041136016,29,29,1.2390667413675491,1.383149500043146,1.7394884998111593
Dataset 3,Cell53,0.6,48,paper_335_350,0.0106,0.0084,0.05094405821093679,0.024090506941478584,0.10347195577665746,36,22,1.3150737241505401,1.5746949998174387,1.7294773500907468
Dataset 3,Cell53,0.6,49,paper_335_350,0.0106,0.0084,0.05005548333829527,0.023192278821389006,0.1344739930272859,33,25,1.2659063103189416,1.5654644998903677,1.7021281499182805
Dataset 3,Cell53,0.6,50,paper_335_350,0.0106,0.0084,0.00432975140452079,0.002576314509128139,0.9935240613343097,38,20,1.369482258629934,1.5984594999736146,1.7226264999862906
Dataset 3,Cell53,0.6,51,paper_335_350,0.0106,0.0084,0.051149265969271954,0.024249187974401534,0.09623479994057771,38,20,1.3585936551643154,1.6052649998528068,1.7243690000441347
Dataset 3,Cell53,0.4,42,paper_335_350,0.0106,0.0084,0.005808956183431253,0.00353053645226151,0.9883433701855211,20,38,1.1146203447847727,0.864629500256342,1.6864709999254046
Dataset 3,Cell53,0.4,43,paper_335_350,0.0106,0.0084,0.005318237751515594,0.003357659462601357,0.9902296009831588,25,33,1.1940491551662302,0.8637649998490815,1.7587733501841285
Dataset 3,Cell53,0.4,44,paper_335_350,0.0106,0.0084,0.004072452657978065,0.002673262757977384,0.9942708671627896,23,35,1.1685040000163005,0.8851200000208337,1.7678563498066069
Dataset 3,Cell53,0.4,45,paper_335_350,0.0106,0.0084,0.0035365150092178223,0.00213992866486861,0.9956795616290344,20,38,1.100616344878102,0.8378745001209609,1.6550410000945703
Dataset 3,Cell53,0.4,46,paper_335_350,0.0106,0.0084,0.006526128654944905,0.00401052375534019,0.9852874461446094,21,37,1.1908786206872877,0.9282400001211499,1.818020849759705
Dataset 3,Cell53,0.4,47,paper_335_350,0.0106,0.0084,0.0038408834152175203,0.002677056994825595,0.9949038869550628,16,42,1.1386766206810692,0.9191500000724773,1.811029150098875
Dataset 3,Cell53,0.4,48,paper_335_350,0.0106,0.0084,0.005943925917790905,0.003699688423272143,0.9877953991844355,26,32,1.2940627758905914,0.9929349996582459,1.812692349972167
Dataset 3,Cell53,0.4,49,paper_335_350,0.0106,0.0084,0.004165919610533178,0.002849767474709966,0.9940048704320883,22,36,1.2292939655190853,0.9352499998840358,1.842365500078813
Dataset 3,Cell53,0.4,50,paper_335_350,0.0106,0.0084,0.0016060443735505755,0.0012145717210812498,0.999108970908167,22,36,1.2319643792658286,0.9312549998412578,1.827770349768798
Dataset 3,Cell53,0.4,51,paper_335_350,0.0106,0.0084,0.050140673409141065,0.023143569072382127,0.13152538633960864,25,33,1.279511517231154,0.9363799999846378,1.8252784996548144
Dataset 3,Cell54,1.0,42,paper_335_350,0.0106,0.0084,0.052874014430273494,0.024295873075262923,0.009654297726062966,58,0,2.004713396531613,2.0137349999913567,2.2388864998902136
Dataset 3,Cell54,0.8,42,paper_335_350,0.0106,0.0084,0.04916769641230364,0.02363030844632413,0.14362895759238026,47,11,1.469520948305593,1.6051850000167178,1.7376780000859071
Dataset 3,Cell54,0.8,43,paper_335_350,0.0106,0.0084,0.0528944542271406,0.02467477700383537,0.008888463021774373,48,10,1.536934862048744,1.6183400000500114,1.8540883501600545
Dataset 3,Cell54,0.8,44,paper_335_350,0.0106,0.0084,0.05333044820084843,0.02431703714806851,-0.007517777649737933,44,14,1.5198934483013828,1.7171894999137294,1.8156644998725824
Dataset 3,Cell54,0.8,45,paper_335_350,0.0106,0.0084,0.05507452117574357,0.026507769925243604,-0.07449329769484936,48,10,1.5749499827726485,1.7283395000049495,1.840639999954874
Dataset 3,Cell54,0.8,46,paper_335_350,0.0106,0.0084,0.0556259956117718,0.027005170839520195,-0.09611935175745945,51,7,1.507591068988843,1.600769500100796,1.6711559997702352
Dataset 3,Cell54,0.8,47,paper_335_350,0.0106,0.0084,0.013401726224140187,0.007435383316888734,0.9363755949494033,44,14,1.412473137924249,1.595354999835763,1.67645300005006
Dataset 3,Cell54,0.8,48,paper_335_350,0.0106,0.0084,0.013707170270431446,0.0085449820657056,0.9334423674057314,47,11,1.5437743620936841,1.68480999991516,1.85966185028974
Dataset 3,Cell54,0.8,49,paper_335_350,0.0106,0.0084,0.05303169952628916,0.02505055018630971,0.0037385139770320652,45,13,1.5326552413469094,1.7169100001410698,1.7817319998584935
Dataset 3,Cell54,0.8,50,paper_335_350,0.0106,0.0084,0.007884535099330165,0.0045203323168465665,0.9779781179356613,47,11,1.5117930690143238,1.6745805000937253,1.7469290000462934
Dataset 3,Cell54,0.8,51,paper_335_350,0.0106,0.0084,0.049672547377520394,0.023123031064023435,0.12595233662445005,47,11,1.5663433276460699,1.7215600000781706,1.8027715002062905
Dataset 3,Cell54,0.6,42,paper_335_350,0.0106,0.0084,0.006592107048546807,0.0035606022952395177,0.9846060258403763,30,28,1.3208045172161982,1.6929199998685363,1.79585649971159
Dataset 3,Cell54,0.6,43,paper_335_350,0.0106,0.0084,0.05539488441001457,0.029250285777093696,-0.08703010461851846,44,14,1.5259692758781025,1.7263545000787417,1.8099943500374138
Dataset 3,Cell54,0.6,44,paper_335_350,0.0106,0.0084,0.0536602475483151,0.025573029999832464,-0.020017433461531287,31,27,1.2919426034119985,1.583949500172821,1.770842499763603
Dataset 3,Cell54,0.6,45,paper_335_350,0.0106,0.0084,0.014671050884915389,0.009165105763209249,0.9237526599458041,31,27,1.2958919137966811,1.6172790001292014,1.8335176498567307
Dataset 3,Cell54,0.6,46,paper_335_350,0.0106,0.0084,0.05191367379184533,0.024787269890368755,0.04530251508543515,36,22,1.4110910689757068,1.6269650000140246,2.2493633501426302
Dataset 3,Cell54,0.6,47,paper_335_350,0.0106,0.0084,0.0038657560437309344,0.0023890458225435136,0.994706156017245,29,29,1.2615091034149373,1.5695894999225857,1.7725748501106864
