dataset,protocol,stress_scenario,measurement_source,model,window,rmse,mae,r2,n_eval,n_rows,n_predictions,measurement_update_count,prediction_only_count,no_measurement_count,mean_availability,mean_update_time_ms,median_update_time_ms,p95_update_time_ms,mean_feature_assembly_time_ms,mean_inference_time_ms,mean_model_size_kb,mean_n_experts,measurement_val_rmse
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_medium_32_35,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.04016708706695254,0.015810149465910965,0.4357800285070802,288,288,288,231,57,0,0.623070987654321,63.87171153472496,95.80341749995114,118.74596915010898,0.2990488749961489,63.5726626597288,39366.775851779516,5.0,0.0025769023657651125
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_narrow_33_345,Best-single-selected,Best-single-selected,per_fold_selected,0.09150179761599897,0.07425001690038568,-1.9279727576522334,288,288,288,0,288,0,0.0,0.0,0.0,0.0,0.0,0.0,8330.62410820855,1.0,0.0024131923613404244
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_narrow_33_345,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.09150179761599897,0.07425001690038568,-1.9279727576522334,288,288,288,0,288,0,0.0,0.0005604270840977835,0.00044999990223004716,0.000676499962537491,0.0005604270840977835,0.0,24245.983557807074,3.0,0.0024979340880129253
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_narrow_33_345,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.07125185449345045,0.0461123695243229,-0.7754159779080976,288,288,288,114,174,0,0.3074845679012346,21.642472909722382,0.0006350001058308408,112.4214166500451,0.13059954860810624,21.511873361114276,39366.775851779516,5.0,0.0025769023657651125
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_paper_335_350,Best-single-selected,Best-single-selected,per_fold_selected,0.04127672280028461,0.015992748682667025,0.4041757198593796,288,288,288,231,57,0,0.623070987654321,81.50049165278577,98.95728599985887,111.92241534965888,0.336807319439932,81.16368433334584,8330.62410820855,1.0,0.0024131923613404244
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_paper_335_350,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.002914471641347231,0.001682606662681953,0.9970295144296547,288,288,288,288,0,0,0.7768132716049383,165.81906727429265,200.6431505000137,225.37404475001495,0.6141209201339216,165.20494635415872,24245.983557807074,3.0,0.0024979340880129253
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_paper_335_350,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.002914471641347262,0.0016826066626819973,0.9970295144296546,288,288,288,288,0,0,0.7768132716049383,167.03537142708313,201.74914050016923,228.50124859976404,0.6162765555615124,166.41909487152165,39366.775851779516,5.0,0.0025769023657651125
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_very_narrow_335_340,Best-single-selected,Best-single-selected,per_fold_selected,0.08172056157953772,0.05999504937410971,-1.3354494101835375,288,288,288,57,231,0,0.1537422839506173,0.4463135520806658,0.0,2.2746925000660667,0.04593186111081751,0.40038169096984827,8330.62410820855,1.0,0.0024131923613404244
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_very_narrow_335_340,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.04109606649557586,0.01648799549361231,0.40937980836715016,288,288,288,230,58,0,0.6203703703703703,62.30146082291238,96.73915600001237,113.42458100018574,0.29082838889296325,62.01063243401942,24245.983557807074,3.0,0.0024979340880129253
Dataset 3,BMS-3B_structured_missing_fast_pruned,only_very_narrow_335_340,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.0028171561274870937,0.0016377521693875091,0.9972245742579743,288,288,288,288,0,0,0.7768132716049383,165.23403468750945,192.51475550004216,223.1888073998789,0.6210243854162122,164.61301030209322,39366.775851779516,5.0,0.0025769023657651125
Dataset 3,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Best-single-selected,Best-single-selected,per_fold_selected,0.0031666967709096925,0.0018245262497124043,0.9964931213525084,288,288,288,288,0,0,0.6101466049382717,83.56595611805298,99.89115749999655,114.84310930009087,0.29139863541476846,83.27455748263823,8330.62410820855,1.0,0.0024131923613404244
Dataset 3,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,0.003013826833796925,0.0017434870479038876,0.9968235328381315,288,288,288,288,0,0,0.6101466049382717,231.1264421805659,292.4970174999544,338.0734614999483,0.7098131666746591,230.4166290138912,24245.983557807074,3.0,0.0024979340880129253
Dataset 3,BMS-3B_structured_missing_fast_pruned,pmax_features_removed,Fast-MAW-GME-K5-latency-aware,Fast-MAW-GME-K5-latency-aware,adaptive_windows,0.002956012423844562,0.0016847738735909922,0.9969442326281486,288,288,288,288,0,0,0.6101466049382717,411.84676355211036,485.3537834999315,561.9763408500376,1.1154017013971105,410.73136185071337,39366.775851779516,5.0,0.0025769023657651125
