dataset,test_cell,model,window,model_size_kb
Dataset 3,Cell51,Kadem-style GPR-EKF,paper_335_350,846.8583984375
Dataset 3,Cell52,Kadem-style GPR-EKF,paper_335_350,839.6552734375
Dataset 3,Cell53,Kadem-style GPR-EKF,paper_335_350,839.6552734375
Dataset 3,Cell54,Kadem-style GPR-EKF,paper_335_350,839.6552734375
Dataset 3,Cell55,Kadem-style GPR-EKF,paper_335_350,846.8583984375
