dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,KNN,0.009558970567721882,0.01018936382358418,0.008975073210957332,33.259765625,18
Dataset 3,Cell51,MAW-GME-full-50experts,narrow_33_345,SVR-RBF,0.009925829137758647,0.01046732528170621,0.008736738967395869,16.9921875,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,SVR-RBF,0.010061064554227787,0.01064550899522351,0.008590504237652737,21.91796875,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,ElasticNet,0.01190613537142628,0.012182995327367408,0.007506388906770799,2.1982421875,18
Dataset 3,Cell51,MAW-GME-full-50experts,paper_335_350,KNN,0.011556258034606928,0.012318368041789103,0.00742389750746748,33.259765625,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,Ridge,0.012769771531523894,0.013060058529298427,0.007002289140774737,2.1162109375,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,KNN,0.013051732533479654,0.01391206959964777,0.006573451178556772,33.21875,18
Dataset 3,Cell51,MAW-GME-full-50experts,full_27_36,SVR-RBF,0.014139013315415807,0.01495510798558773,0.006114988603139817,20.099609375,18
Dataset 3,Cell51,MAW-GME-full-50experts,very_narrow_335_340,KNN,0.014688990877691566,0.015658587607003723,0.005840266052917577,33.341796875,18
Dataset 3,Cell51,Fast-MAW-GME-K3-latency-aware,very_narrow_335_340,XGBoost,0.0016949740287349414,0.0019097354012571149,0.3367654246250351,580.0185546875,18
Dataset 3,Cell51,Fast-MAW-GME-K3-latency-aware,paper_335_350,XGBoost,0.00171012180916988,0.0019265790009209039,0.33382118379822734,571.53125,18
Dataset 3,Cell51,Fast-MAW-GME-K3-latency-aware,medium_32_35,XGBoost,0.0017330850796812266,0.0019523581714993063,0.32941339157673766,572.587890625,18
Dataset 3,Cell51,Fast-MAW-GME-K5-latency-aware,very_narrow_335_340,XGBoost,0.0016949740287349414,0.0019097354012571149,0.20509720927694136,580.0185546875,18
Dataset 3,Cell51,Fast-MAW-GME-K5-latency-aware,paper_335_350,XGBoost,0.00171012180916988,0.0019265790009209039,0.2033041048402556,571.53125,18
Dataset 3,Cell51,Fast-MAW-GME-K5-latency-aware,medium_32_35,XGBoost,0.0017330850796812266,0.0019523581714993063,0.2006196668974154,572.587890625,18
Dataset 3,Cell51,Fast-MAW-GME-K5-latency-aware,very_narrow_335_340,RandomForest,0.0017234460920407756,0.0020033001178067014,0.195518132088374,4457.64453125,18
Dataset 3,Cell51,Fast-MAW-GME-K5-latency-aware,narrow_33_345,XGBoost,0.0017786314897618222,0.002003886832994935,0.19546088689701363,576.4716796875,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,RandomForest,0.0027503658035387723,0.0031968456678257338,0.03960303470082842,4448.421875,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,ExtraTrees,0.0027173447728794506,0.00322819774011299,0.039218413478561094,16056.744140625,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,ExtraTrees,0.0028194055058588527,0.0033494477828817618,0.03779871076252696,16060.482421875,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,RandomForest,0.00294827640819124,0.003426841529256423,0.03694504558063361,4444.28515625,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,RandomForest,0.003441187316634002,0.003999765700418421,0.03165307142927996,4449.673828125,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,RandomForest,0.0035475988518064187,0.004123431766626384,0.030703764746027987,4444.34375,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,XGBoost,0.0036841418795627674,0.00415227586866776,0.03049047920851923,596.892578125,18
